SSI,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. DOANH THU HOẠT ĐỘNG,,,,,
1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),,,,,52
a. Lãi bán các tài sản tài chính,,,,,39
b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,,,,,11
"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",,,,,3
d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,,,,,
1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),,,,,69
1.3. Lãi từ các khoản cho vay và phải thu,,,,,98
1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),,,,,10
1.5. Lãi từ các công cụ phái sinh phòng ngừa rủi ro,,,,,
1.6. Doanh thu môi giới chứng khoán,62,70,82,73,81
"- Doanh thu hoạt động đầu tư chứng khoán, góp vốn",80,109,108,92,
"1.7. Doanh thu bảo lãnh phát hành, đại lý phát hành chứng khoán",0,,2,10,9
- Doanh thu quản lý danh mục đầu tư cho  người uỷ thác đầu tư,2,1,2,9,
1.8. Doanh thu hoạt động tư vấn,9,8,11,16,17
1.9. Doanh thu hoạt động ủy thác đấu giá,,,,0,2
1.10. Doanh thu lưu ký chứng khoán,2,2,2,2,
- Doanh thu cho thuê sử dụng tài sản,2,2,2,2,
1.11. Thu nhập hoạt động khác,126,134,142,169,29
Các khoản giảm trừ doanh thu,1,0,0,0,
Cộng doanh thu hoạt động (01->11),282,327,351,374,367
Doanh thu thuần,282,327,351,374,367
II. CHI PHÍ HOẠT ĐỘNG,,,,,
2.1. Lỗ các tài sản tài chính ghi nhận thông qua lỗ (FVTPL),,,,,48
a. Lỗ bán các tài sản tài chính,,,,,1
