STB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,545","8,488","7,051","8,901","8,215"
II. Tiền gửi tại NHNN,"12,848","15,798","14,974","15,451","17,644"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","50,333","56,986","71,386","60,285","88,241"
"1. Tiền, vàng gửi tại các TCTD khác","50,114","56,766","71,202","60,086","80,634"
2. Cho vay các TCTD khác,219,219,183,199,"7,607"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,138,36,,,
VI. Cho vay khách hàng,"475,169","492,140","507,883","515,739","530,448"
1. Cho vay và cho thuê tài chính khách hàng,"482,731","500,408","516,635","525,493","539,315"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-7,562","-8,268","-8,752","-9,755","-8,867"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"74,636","75,698","86,118","82,871","85,648"
1. Chứng khoán đầu tư sẵn sàng để bán,"22,563","20,618","26,081","22,675","23,555"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"66,689","69,665","74,613","73,856","75,363"
3. Dự phòng giảm giá chứng khoán đầu tư,"-14,616","-14,584","-14,576","-13,659","-13,270"
"VIII. Góp vốn, đầu tư dài hạn",83,83,82,82,82
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,97,97,97,97,97
4. Dự phòng giảm giá đầu tư dài hạn,-14,-14,-14,-14,-14
IX. Tài sản cố định,"7,269","7,376","7,273","7,385","7,355"
1. Tài sản cố định hữu hình,"4,283","4,353","4,295","4,360","4,375"
a. Nguyên giá TSCĐ,"8,340","8,585","8,664","8,798","8,871"
