STB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,948","4,434","5,063","4,875","5,101"
2. Chi phí lãi và các chi phí tương tự,"3,435","3,477","3,653","3,823","4,022"
I. Thu nhập lãi thuần,"1,513",957,"1,411","1,052","1,079"
3. Thu nhập từ hoạt động dịch vụ,510,523,595,578,636
4. Chi phí hoạt động dịch vụ,170,176,177,195,189
II. Lãi/lỗ thuần từ hoạt động dịch vụ,340,347,418,383,447
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,200,279,-275,147,82
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,2,1,-3,6,2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,14,27,-37,29,29
5. Thu nhập từ hoạt động khác,48,89,178,70,30
6. Chi phí hoạt động khác,11,56,109,1,2
VI. Lãi/lỗ thuần từ hoạt động khác,37,33,69,69,28
"VII. Thu nhập từ góp vốn, mua cổ phần",-1,3,3,1,6
VIII. Chi phí hoạt động,"1,260","1,515","1,581","1,378","1,365"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),846,133,5,308,308
X. Chi phí dự phòng rủi ro tín dụng,681,-54,24,-1,39
XI. Tổng lợi nhuận trước thuế (IX-X),164,187,-19,309,269
7. Chi phí thuế TNDN hiện hành,17,37,56,52,58
8. Chi phí thuế TNDN hoãn lại,,,13,46,
XII. Chi phí thuế TNDN,17,37,68,99,58
XIII. Lợi nhuận sau thuế (XI-XII),147,150,-87,211,211
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),147,150,-87,211,211
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
