TCB,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,523","4,529","3,669","2,999","2,421"
II. Tiền gửi tại NHNN,"5,884","5,577","3,753","5,447","3,770"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","28,783","31,256","25,109","25,681","27,104"
"1. Tiền, vàng gửi tại các TCTD khác","28,370","21,114","22,030","24,337","24,707"
2. Cho vay các TCTD khác,416,"10,196","3,113","1,362","2,409"
3. Dự phòng rủi ro cho vay các TCTD khác,-3,-54,-34,-18,-12
IV. Chứng khoán kinh doanh,159,769,"1,454","1,461",997
1. Chứng khoán kinh doanh,221,800,"1,469","1,474","1,013"
2. Dự phòng giảm giá chứng khoán kinh doanh,-62,-31,-16,-13,-16
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,41,107,114,,
VI. Cho vay khách hàng,"60,456","67,134","66,989","68,593","68,406"
1. Cho vay và cho thuê tài chính khách hàng,"61,309","68,261","68,436","69,865","69,952"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-852,"-1,127","-1,448","-1,272","-1,546"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"49,210","46,654","47,467","43,897","42,954"
1. Chứng khoán đầu tư sẵn sàng để bán,"45,696","43,896","45,615","42,463","42,314"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"3,817","3,092","2,146","1,733",810
3. Dự phòng giảm giá chứng khoán đầu tư,-303,-334,-294,-299,-171
"VIII. Góp vốn, đầu tư dài hạn",93,93,93,93,129
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,93,93,93,93,129
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,257","1,146","1,125","1,033","1,069"
1. Tài sản cố định hữu hình,955,820,793,706,728
a. Nguyên giá TSCĐ,"1,390","1,272","1,286","1,177","1,237"
b. Hao mòn TSCĐ,-436,-452,-493,-471,-509
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,302,327,333,327,341
a. Nguyên giá TSCĐ,406,445,465,473,502
b. Hao mòn TSCĐ,-104,-118,-132,-146,-161
X. Bất động sản đầu tư,"1,339","1,329","1,321","1,313","1,309"
a. Nguyên giá BĐSĐT,"1,350","1,354","1,354","1,354","1,359"
b. Hao mòn BĐSĐT,-11,-25,-33,-42,-50
