TCB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,576","6,003","5,864","6,273","6,628"
2. Chi phí lãi và các chi phí tương tự,"2,617","2,643","2,740","2,651","2,724"
I. Thu nhập lãi thuần,"2,959","3,359","3,124","3,622","3,904"
3. Thu nhập từ hoạt động dịch vụ,"1,750",888,"1,178","1,205","1,862"
4. Chi phí hoạt động dịch vụ,328,319,347,466,498
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,423",569,831,738,"1,364"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-13,9,111,18,-34
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,53,85,69,111,132
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,53,64,86,446,648
5. Thu nhập từ hoạt động khác,"1,351",990,965,979,"1,490"
6. Chi phí hoạt động khác,771,682,499,560,877
VI. Lãi/lỗ thuần từ hoạt động khác,580,309,466,419,613
"VII. Thu nhập từ góp vốn, mua cổ phần",,0,0,4,0
VIII. Chi phí hoạt động,"2,109","1,610","1,571","1,794","2,337"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,947","2,784","3,117","3,564","4,290"
X. Chi phí dự phòng rủi ro tín dụng,60,167,72,366,312
XI. Tổng lợi nhuận trước thuế (IX-X),"2,887","2,617","3,045","3,199","3,978"
7. Chi phí thuế TNDN hiện hành,622,525,612,616,859
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,622,525,612,616,859
XIII. Lợi nhuận sau thuế (XI-XII),"2,265","2,092","2,433","2,583","3,119"
XIV. Lợi ích của cổ đông thiểu số,11,9,24,28,90
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,254","2,083","2,409","2,554","3,029"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
