TPB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Đơn lẻ,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,339","1,789","1,455","1,693","1,293"
II. Tiền gửi tại NHNN,"9,212","11,378","8,929","13,215","22,708"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","52,352","56,447","55,159","54,516","70,521"
"1. Tiền, vàng gửi tại các TCTD khác","33,888","41,430","40,507","42,047","62,183"
2. Cho vay các TCTD khác,"18,464","15,017","14,652","12,469","8,338"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,4,5,0,0,
1. Chứng khoán kinh doanh,4,5,0,0,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,
VI. Cho vay khách hàng,"202,586","198,128","210,530","231,562","247,239"
1. Cho vay và cho thuê tài chính khách hàng,"205,262","200,829","213,432","234,722","250,331"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,676","-2,701","-2,902","-3,160","-3,093"
VII. Hoạt động mua nợ,92,805,793,781,767
1. Mua nợ,93,811,799,787,773
2. Dự phòng rủi ro hoạt động mua nợ,-1,-6,-6,-6,-6
VII. Chứng khoán đầu tư,"65,336","62,152","60,865","63,893","59,472"
1. Chứng khoán đầu tư sẵn sàng để bán,"65,392","62,199","60,911","63,959","59,549"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,45,45,45,45
3. Dự phòng giảm giá chứng khoán đầu tư,-100,-92,-91,-111,-122
"VIII. Góp vốn, đầu tư dài hạn",,,,,
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,,,,,
4. Dự phòng giảm giá đầu tư dài hạn,,,,,
IX. Tài sản cố định,"1,059",999,"1,060","1,091","1,222"
1. Tài sản cố định hữu hình,729,686,763,721,857
a. Nguyên giá TSCĐ,"1,786","1,796","1,934","1,950","2,134"
b. Hao mòn TSCĐ,"-1,056","-1,111","-1,170","-1,229","-1,277"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,329,313,297,371,365
a. Nguyên giá TSCĐ,886,895,904,"1,005","1,028"
b. Hao mòn TSCĐ,-557,-582,-608,-634,-663
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","23,662","24,168","22,759","18,602","14,807"
1. Các khoản phải thu,"15,202","16,107","14,666","10,374","7,034"
"2. Các khoản lãi, phí phải thu","3,868","3,554","3,586","3,723","3,285"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"4,682","4,597","4,507","4,505","4,518"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-90,-90,0,0,-30
TỔNG CỘNG TÀI SẢN,"356,637","355,870","361,555","385,352","418,028"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,338,341,"1,727","1,167",238
II. Tiền gửi và vay các TCTD khác,"83,966","92,481","78,592","80,926","94,514"
1. Tiền gửi của các TCTD khác,"62,399","66,912","59,482","70,603","76,598"
2. Vay các TCTD khác,"21,566","25,569","19,110","10,323","17,916"
III. Tiền gửi của khách hàng,"208,262","190,827","202,997","224,821","242,806"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,66,268,404,154,131
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",74,76,82,87,94
VI. Phát hành giấy tờ có giá,"24,216","31,811","36,013","36,284","36,633"
VII. Các khoản nợ khác,"6,972","5,876","6,132","5,602","6,016"
"1. Các khoản lãi, phí phải trả","4,979","4,209","3,633","3,585","3,520"
2. Thuế TNDN hoãn lại phải trả,,,,,
3. Các khoản phải trả và công nợ khác,"1,993","1,667","2,498","2,017","2,497"
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),,,,,
TỔNG NỢ PHẢI TRẢ,"323,894","321,680","325,946","349,041","380,432"
VIII. Vốn và các quỹ,"32,743","34,190","35,609","36,311","37,596"
1. Vốn của TCTD,"22,016","22,016","22,016","22,016","26,420"
a. Vốn điều lệ,"22,016","22,016","22,016","22,016","26,420"
b. Vốn đầu tư XDCB,,,,,
c. Thặng dư vốn cổ phần,,,,,
d. Cổ phiếu quỹ,,,,,
e. Cổ phiếu ưu đãi,,,,,
g. Vốn khác,,,,,
2. Quỹ của TCTD,"3,052","3,052","3,722","3,722","3,722"
3. Chênh lệch tỷ giá hối đoái,7,420,,,
4. Chênh lệch đánh giá lại tài sản,"9,871",,,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,"7,674","9,114",0,"10,153","7,455"
6. Lợi ích cổ đông không kiểm soát,0,0,0,,
IX. Lợi ích của cổ đông thiểu số,,,,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"356,637","355,870","361,555","385,352","418,028"
