TPB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,406","6,023","6,715","7,196","6,895"
2. Chi phí lãi và các chi phí tương tự,"2,666","3,243","3,978","4,467","3,933"
I. Thu nhập lãi thuần,"2,741","2,780","2,737","2,729","2,963"
3. Thu nhập từ hoạt động dịch vụ,905,"1,031",889,"1,004",890
4. Chi phí hoạt động dịch vụ,221,214,193,200,224
II. Lãi/lỗ thuần từ hoạt động dịch vụ,684,816,696,804,666
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,118,80,151,163,123
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,7,-122,34,238,552
5. Thu nhập từ hoạt động khác,362,325,186,169,187
6. Chi phí hoạt động khác,147,216,145,185,276
VI. Lãi/lỗ thuần từ hoạt động khác,215,109,41,-16,-89
"VII. Thu nhập từ góp vốn, mua cổ phần",,,,,
VIII. Chi phí hoạt động,"1,299","1,646","1,579","1,931","1,346"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,466","2,017","2,080","1,987","2,869"
X. Chi phí dự phòng rủi ro tín dụng,328,115,315,368,"1,293"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,138","1,903","1,765","1,618","1,576"
7. Chi phí thuế TNDN hiện hành,426,383,352,325,313
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,426,383,352,325,313
XIII. Lợi nhuận sau thuế (XI-XII),"1,712","1,519","1,413","1,293","1,263"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,712","1,519","1,413","1,293","1,263"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
