VCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","16,293","18,349","15,538","16,134","13,914"
II. Tiền gửi tại NHNN,"11,379","92,558","139,257","56,431","29,313"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","302,927","313,592","334,748","286,407","320,952"
"1. Tiền, vàng gửi tại các TCTD khác","254,958","283,682","324,773","266,931","298,187"
2. Cho vay các TCTD khác,"48,969","40,750","15,696","20,476","23,765"
3. Dự phòng rủi ro cho vay các TCTD khác,"-1,000","-10,840","-5,721","-1,000","-1,000"
IV. Chứng khoán kinh doanh,"1,348","1,500","1,595","1,376","1,736"
1. Chứng khoán kinh doanh,"1,407","1,544","1,618","1,395","1,754"
2. Dự phòng giảm giá chứng khoán kinh doanh,-59,-44,-23,-19,-18
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,0,157,225,217,
VI. Cho vay khách hàng,"1,093,971","1,120,287","1,142,187","1,139,981","1,150,958"
1. Cho vay và cho thuê tài chính khách hàng,"1,130,144","1,145,066","1,174,081","1,177,728","1,189,831"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-36,173","-24,779","-31,894","-37,747","-38,872"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"177,220","196,171","174,526","156,871","178,724"
1. Chứng khoán đầu tư sẵn sàng để bán,"87,411","100,740","77,663","65,672","102,650"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"89,897","95,513","96,941","91,277","76,487"
3. Dự phòng giảm giá chứng khoán đầu tư,-89,-82,-78,-78,-414
"VIII. Góp vốn, đầu tư dài hạn","2,217","2,194","2,221","2,248","2,206"
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết",763,782,810,837,795
3. Đầu tư dài hạn khác,"1,529","1,529","1,529","1,529","1,529"
4. Dự phòng giảm giá đầu tư dài hạn,-75,-118,-118,-118,-118
IX. Tài sản cố định,"7,821","7,985","7,732","7,598","7,442"
1. Tài sản cố định hữu hình,"5,060","5,170","5,016","4,918","4,812"
a. Nguyên giá TSCĐ,"13,806","13,950","14,021","14,154","14,245"
b. Hao mòn TSCĐ,"-8,746","-8,780","-9,006","-9,236","-9,432"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"2,760","2,815","2,716","2,680","2,629"
