VCB,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,EY,,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"6,767","6,702","6,928","7,053","7,306"
2. Chi phí lãi và các chi phí tương tự,"4,032","3,936","4,122","4,108","4,048"
I. Thu nhập lãi thuần,"2,735","2,766","2,806","2,945","3,258"
3. Thu nhập từ hoạt động dịch vụ,791,736,757,780,886
4. Chi phí hoạt động dịch vụ,359,312,321,338,446
II. Lãi/lỗ thuần từ hoạt động dịch vụ,432,424,436,442,440
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,151,442,356,278,269
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,7,66,6,70,57
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,61,180,5,48,-19
5. Thu nhập từ hoạt động khác,523,255,544,277,871
6. Chi phí hoạt động khác,15,14,18,40,88
VI. Lãi/lỗ thuần từ hoạt động khác,508,241,526,238,783
"VII. Thu nhập từ góp vốn, mua cổ phần",384,0,61,11,138
VIII. Chi phí hoạt động,"2,026","1,420","1,640","1,595","2,171"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,252","2,699","2,555","2,438","2,755"
X. Chi phí dự phòng rủi ro tín dụng,499,"1,198","1,210","1,105","1,059"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,753","1,501","1,346","1,333","1,696"
7. Chi phí thuế TNDN hiện hành,409,331,286,291,356
8. Chi phí thuế TNDN hoãn lại,0,,0,,1
XII. Chi phí thuế TNDN,409,331,286,291,357
XIII. Lợi nhuận sau thuế (XI-XII),"1,344","1,170","1,060","1,042","1,339"
XIV. Lợi ích của cổ đông thiểu số,8,4,3,3,9
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,336","1,166","1,057","1,039","1,329"
Lãi cơ bản trên cổ phiếu (BCTC),576,503,456,433,539
