VHM,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"10,521","16,984","13,290","17,589",
I. Tiền và các khoản tương đương tiền,253,756,"2,802","3,131",
1. Tiền,251,756,941,"1,409",
2. Các khoản tương đương tiền,2,"1,861","1,722",,
II.  Đầu tư tài chính ngắn hạn,53,,,,
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,53,,,,
III. Các khoản phải thu ngắn hạn,"1,206","7,233","4,698","6,582",
1. Phải thu ngắn hạn của khách hàng,139,173,431,490,
2. Trả trước cho người bán ngắn hạn,575,"1,023",497,739,
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,362,361,"3,123","5,219",
6. Phải thu ngắn hạn khác,138,"5,684",656,142,
7. Dự phòng phải thu ngắn hạn khó đòi (*),-7,-8,-9,-9,
8. Tài sản thiếu chờ xử lý,0,,,,
IV. Hàng tồn kho,"8,100","8,021","5,189","7,194",
1. Hàng tồn kho,"8,103","8,025","5,198","7,202",
2. Dự phòng giảm giá hàng tồn kho (*),-3,-4,-8,-8,
V. Tài sản ngắn hạn khác,908,973,599,683,
1. Chi phí trả trước ngắn hạn,589,641,395,427,
2. Thuế GTGT được khấu trừ,60,72,104,147,
3. Thuế và các khoản khác phải thu của nhà nước,0,3,11,,
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,260,260,97,97,
B. TÀI SẢN DÀI HẠN,"17,722","16,797","21,028","21,896",
I. Các khoản phải thu dài hạn,21,54,106,247,
1. Phải thu dài hạn của khách hàng,,,,,
