VHM,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"17,805","31,193","29,299","32,833","32,724"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"17,805","31,193","29,299","32,833","32,724"
4. Giá vốn hàng bán,"8,509","16,109","22,655","19,618","17,767"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"9,296","15,085","6,643","13,215","14,957"
6.Doanh thu hoạt động tài chính,"10,922","1,490","11,294","2,155","1,845"
7. Chi phí tài chính,862,"2,413",877,399,954
Trong đó :Chi phí lãi vay,725,442,683,785,716
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",4,32,1,1,-2
9. Chi phí bán hàng,743,"1,118","1,014","1,278",683
10. Chi phí quản lý doanh nghiệp,546,602,544,572,636
11. Lợi nhuận thuần từ hoạt động kinh doanh,"18,070","12,474","15,503","13,123","14,528"
12. Thu nhập khác,"1,034",65,97,-48,55
13. Chi phí khác,155,71,525,542,377
14. Lợi nhuận khác,879,-7,-428,-590,-322
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"18,949","12,467","15,074","12,533","14,206"
16. Chi phí thuế TNDN hiện hành,"4,352","3,205","3,034","3,295","3,487"
17. Chi phí thuế TNDN hoãn lại,22,310,117,-476,-5
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"14,575","8,952","11,923","9,714","10,724"
Lợi ích của cổ đông thiểu số,81,25,6,61,29
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"14,494","8,928","11,917","9,652","10,695"
19. Lãi cơ bản trên cổ phiếu (*),"3,329","2,050","2,737","2,217","2,456"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
