VIC,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"132,457","153,900","162,795","166,286","201,493"
I. Tiền và các khoản tương đương tiền,"13,559","7,442","23,549","16,527","18,489"
1. Tiền,"8,568","6,028","13,277","9,910","7,638"
2. Các khoản tương đương tiền,"4,991","1,413","10,272","6,617","10,850"
II.  Đầu tư tài chính ngắn hạn,"1,952","1,846","1,051",880,"10,420"
1. Chứng khoán kinh doanh,"9,540",,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,952","1,846","1,051",880,880
III. Các khoản phải thu ngắn hạn,"48,316","78,463","74,388","64,303","68,076"
1. Phải thu ngắn hạn của khách hàng,"7,746","13,434","9,303","9,311","17,604"
2. Trả trước cho người bán ngắn hạn,"19,387","31,610","27,016","27,254","19,280"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,628,"4,347","4,646","17,493","21,322"
6. Phải thu ngắn hạn khác,"20,813","29,339","33,729","10,551","10,150"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-258,-266,-305,-307,-280
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"53,206","55,827","48,679","77,341","83,273"
1. Hàng tồn kho,"54,114","56,032","49,417","78,175","85,403"
2. Dự phòng giảm giá hàng tồn kho (*),-908,-205,-738,-834,"-2,129"
V. Tài sản ngắn hạn khác,"15,425","10,322","15,127","7,235","21,236"
1. Chi phí trả trước ngắn hạn,"3,267","2,513","2,132","2,699","3,400"
2. Thuế GTGT được khấu trừ,"2,503","2,516","2,550","3,470","4,941"
3. Thuế và các khoản khác phải thu của nhà nước,45,220,384,58,30
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"9,610","5,072","10,061","1,009","12,864"
B. TÀI SẢN DÀI HẠN,"156,648","160,225","175,729","190,873","207,079"
