VIC,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"37,065","40,149","44,642","36,550","31,609"
I. Tiền và các khoản tương đương tiền,"7,534","8,134","6,721","5,209","7,608"
1. Tiền,820,"2,224",876,945,"1,708"
2. Các khoản tương đương tiền,"6,714","5,910","5,845","4,264","5,900"
II.  Đầu tư tài chính ngắn hạn,"5,627","6,295","6,344","7,235","6,320"
1. Chứng khoán kinh doanh,"5,679","6,338","6,402","7,306","6,397"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-52,-43,-58,-71,-77
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"6,744","3,085","4,360","4,548","2,936"
1. Phải thu ngắn hạn của khách hàng,910,799,"1,739","1,554",831
2. Trả trước cho người bán ngắn hạn,"1,205","1,256","1,746","2,166","1,280"
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,"4,659","1,069",899,853,879
7. Dự phòng phải thu ngắn hạn khó đòi (*),-30,-39,-23,-25,-55
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"15,910","16,831","16,775","13,607","11,880"
1. Hàng tồn kho,"15,919","16,840","16,781","13,613","11,935"
2. Dự phòng giảm giá hàng tồn kho (*),-9,-9,-5,-5,-55
V. Tài sản ngắn hạn khác,"1,249","5,803","10,442","5,950","2,865"
1. Chi phí trả trước ngắn hạn,101,107,94,123,307
2. Thuế GTGT được khấu trừ,238,171,276,384,549
3. Thuế và các khoản khác phải thu của nhà nước,22,31,28,62,29
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,888,"5,494","10,044","5,382","1,980"
B. TÀI SẢN DÀI HẠN,"37,915","38,158","39,166","46,242","58,874"
I. Các khoản phải thu dài hạn,,,,,
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
