VIC,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Soát xét
Công ty kiểm toán,,,,,EY
Ý kiến kiểm toán,,,,,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,398","6,036","7,268","14,409","14,740"
2. Các khoản giảm trừ doanh thu,4,4,17,42,3
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,394","6,031","7,251","14,367","14,737"
4. Giá vốn hàng bán,"4,151","3,900","4,528","9,807","9,958"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,243","2,132","2,723","4,560","4,778"
6.Doanh thu hoạt động tài chính,324,608,553,653,549
7. Chi phí tài chính,773,837,765,"1,149",887
Trong đó :Chi phí lãi vay,501,585,362,840,740
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,9,12,10,9
9. Chi phí bán hàng,342,380,800,"1,583","1,056"
10. Chi phí quản lý doanh nghiệp,652,857,"1,100","1,006","1,113"
11. Lợi nhuận thuần từ hoạt động kinh doanh,800,675,623,"1,486","2,281"
12. Thu nhập khác,42,62,45,43,56
13. Chi phí khác,158,165,108,566,171
14. Lợi nhuận khác,-116,-103,-63,-523,-115
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,8,,,,
15. Tổng lợi nhuận kế toán trước thuế,692,572,561,962,"2,165"
16. Chi phí thuế TNDN hiện hành,344,253,269,593,895
17. Chi phí thuế TNDN hoãn lại,-10,-16,-14,-51,-19
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,357,335,305,421,"1,289"
Lợi ích của cổ đông thiểu số,-71,46,50,233,511
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,428,289,255,187,779
19. Lãi cơ bản trên cổ phiếu (*),317,,138,164,398
20. Lãi suy giảm trên cổ phiếu (*),,,,,398
