VJC,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"22,233","24,808","22,551","24,497","27,353"
I. Tiền và các khoản tương đương tiền,"2,459","2,414","2,299","3,055","2,054"
1. Tiền,470,"1,774","1,346","1,367","1,513"
2. Các khoản tương đương tiền,"1,990",639,953,"1,688",541
II.  Đầu tư tài chính ngắn hạn,300,994,419,604,"1,282"
1. Chứng khoán kinh doanh,990,990,990,990,"1,553"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),-690,-575,-390,-275,
3. Đầu tư nắm giữ đến ngày đáo hạn,4,4,4,4,
III. Các khoản phải thu ngắn hạn,"18,359","20,339","18,907","19,907","23,070"
1. Phải thu ngắn hạn của khách hàng,"7,660","10,602","8,740","9,195","8,941"
2. Trả trước cho người bán ngắn hạn,154,161,186,226,185
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,509,501,535,499,
6. Phải thu ngắn hạn khác,"10,036","9,075","9,447","9,987","13,944"
7. Dự phòng phải thu ngắn hạn khó đòi (*),,,,,
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,687,761,680,687,701
1. Hàng tồn kho,687,761,680,687,701
2. Dự phòng giảm giá hàng tồn kho (*),,,,,
V. Tài sản ngắn hạn khác,427,300,246,244,246
1. Chi phí trả trước ngắn hạn,313,237,213,213,219
2. Thuế GTGT được khấu trừ,66,15,3,3,
3. Thuế và các khoản khác phải thu của nhà nước,48,48,33,28,24
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,,,,,
B. TÀI SẢN DÀI HẠN,"24,673","23,584","22,754","22,592","20,145"
