VJC,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"18,797","17,792","16,224","18,164","19,797"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"18,797","17,792","16,224","18,164","19,797"
4. Giá vốn hàng bán,"18,899","16,047","14,446","15,962","18,787"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,-102,"1,745","1,778","2,202","1,010"
6.Doanh thu hoạt động tài chính,"2,718",585,569,242,691
7. Chi phí tài chính,"1,464",941,997,"1,085",560
Trong đó :Chi phí lãi vay,619,719,556,717,826
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,766,657,602,695,645
10. Chi phí quản lý doanh nghiệp,552,190,216,-17,508
11. Lợi nhuận thuần từ hoạt động kinh doanh,-167,542,531,682,-12
12. Thu nhập khác,461,141,121,88,124
13. Chi phí khác,17,7,18,10,4
14. Lợi nhuận khác,444,134,104,78,121
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,277,676,635,760,108
16. Chi phí thuế TNDN hiện hành,-90,1,1,1,8
17. Chi phí thuế TNDN hoãn lại,216,136,55,189,79
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,152,539,579,571,21
Lợi ích của cổ đông thiểu số,26,3,1,-1,-2
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,126,536,578,572,23
19. Lãi cơ bản trên cổ phiếu (*),233,990,"1,067","1,055",43
20. Lãi suy giảm trên cổ phiếu (*),233,990,"1,067","1,055",43
