VJC,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"4,337","2,654","2,789","4,522","11,590"
2. Các khoản giảm trừ doanh thu,796,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"3,542","2,654","2,789","4,522","11,590"
4. Giá vốn hàng bán,"4,819","2,095","2,419","4,779","10,463"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"-1,278",559,370,-257,"1,127"
6.Doanh thu hoạt động tài chính,"1,757",21,123,"1,156",238
7. Chi phí tài chính,147,297,298,403,777
Trong đó :Chi phí lãi vay,145,250,267,339,343
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,231,119,144,129,235
10. Chi phí quản lý doanh nghiệp,91,61,133,118,82
11. Lợi nhuận thuần từ hoạt động kinh doanh,10,103,-82,249,272
12. Thu nhập khác,12,0,8,1,8
13. Chi phí khác,0,0,7,,0
14. Lợi nhuận khác,12,0,0,1,8
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,22,103,-82,250,280
16. Chi phí thuế TNDN hiện hành,13,4,-3,1,1
17. Chi phí thuế TNDN hoãn lại,5,28,15,4,97
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,5,72,-93,244,181
Lợi ích của cổ đông thiểu số,-1,-1,8,,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,6,73,-102,244,180
19. Lãi cơ bản trên cổ phiếu (*),11,137,-190,75,333
20. Lãi suy giảm trên cổ phiếu (*),,,,,333
