VNM,Q4/2008,Q1/2009,Q2/2009,Q3/2009,Q4/2009
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"3,396","3,302","4,048","4,144","5,119"
I. Tiền và các khoản tương đương tiền,341,"1,000",876,218,426
1. Tiền,341,161,195,216,426
2. Các khoản tương đương tiền,0,839,681,1,0
II.  Đầu tư tài chính ngắn hạn,559,221,985,"1,912","2,314"
1. Chứng khoán kinh doanh,559,349,"1,086","1,993","2,314"
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,-128,-101,-80,0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,646,691,658,735,778
1. Phải thu ngắn hạn của khách hàng,646,540,521,551,778
2. Trả trước cho người bán ngắn hạn,0,117,113,140,0
3. Phải thu nội bộ ngắn hạn,0,0,0,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,0,0,0,0
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,0,34,25,44,0
7. Dự phòng phải thu ngắn hạn khó đòi (*),0,0,0,0,0
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"1,797","1,346","1,240",961,"1,312"
1. Hàng tồn kho,"1,797","1,359","1,251",975,"1,312"
2. Dự phòng giảm giá hàng tồn kho (*),0,-12,-11,-14,0
V. Tài sản ngắn hạn khác,53,44,290,318,288
1. Chi phí trả trước ngắn hạn,53,34,51,59,288
2. Thuế GTGT được khấu trừ,0,7,9,27,0
3. Thuế và các khoản khác phải thu của nhà nước,0,0,226,226,0
4. Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,0,3,3,6,0
B. TÀI SẢN DÀI HẠN,"2,537","2,804","2,792","3,348","3,412"
I. Các khoản phải thu dài hạn,0,0,0,3,9
1. Phải thu dài hạn của khách hàng,0,0,0,0,9
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu nội bộ dài hạn,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
