VNM,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Soát xét,Soát xét,Chưa kiểm toán,Soát xét,Soát xét
Công ty kiểm toán,KPMG,KPMG,,KPMG,KPMG
Ý kiến kiểm toán,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần,Chấp nhận toàn phần
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"15,729","16,208","15,834","13,940","14,959"
2. Các khoản giảm trừ doanh thu,13,14,15,63,29
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"15,716","16,194","15,819","13,878","14,930"
4. Giá vốn hàng bán,"8,861","9,250","9,094","8,253","8,854"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"6,854","6,944","6,725","5,625","6,077"
6.Doanh thu hoạt động tài chính,293,314,323,320,342
7. Chi phí tài chính,42,64,90,132,135
Trong đó :Chi phí lãi vay,28,24,23,26,37
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-20,15,-31,-35,11
9. Chi phí bán hàng,"3,186","3,308","3,871","2,636","3,316"
10. Chi phí quản lý doanh nghiệp,389,394,417,369,377
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,510","3,507","2,639","2,772","2,601"
12. Thu nhập khác,37,142,123,49,50
13. Chi phí khác,54,63,74,57,75
14. Lợi nhuận khác,-17,80,49,-8,-25
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,494","3,587","2,688","2,764","2,576"
16. Chi phí thuế TNDN hiện hành,634,623,504,462,490
17. Chi phí thuế TNDN hoãn lại,-3,3,-29,19,-17
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,862","2,961","2,213","2,283","2,102"
Lợi ích của cổ đông thiểu số,27,35,17,18,19
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,835","2,926","2,196","2,266","2,083"
19. Lãi cơ bản trên cổ phiếu (*),"1,212","1,262",943,973,877
20. Lãi suy giảm trên cổ phiếu (*),,,,,
