VPB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","3,142","3,010","2,799","3,283","2,729"
II. Tiền gửi tại NHNN,"1,440","3,056","5,121","5,780","3,770"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","13,324","26,034","26,918","19,555","18,790"
"1. Tiền, vàng gửi tại các TCTD khác","9,064","19,798","19,215","13,829","13,609"
2. Cho vay các TCTD khác,"4,260","6,236","7,703","5,726","5,180"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"1,118",291,100,493,"5,504"
1. Chứng khoán kinh doanh,"1,123",292,100,493,"5,557"
2. Dự phòng giảm giá chứng khoán kinh doanh,-5,-1,-53,,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,252,,,,
VI. Cho vay khách hàng,"259,594","265,908","273,164","286,319","296,602"
1. Cho vay và cho thuê tài chính khách hàng,"263,748","270,139","278,025","290,816","301,173"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-4,154","-4,231","-4,861","-4,497","-4,571"
VII. Hoạt động mua nợ,258,249,,,
1. Mua nợ,260,251,,,
2. Dự phòng rủi ro hoạt động mua nợ,-2,-2,,,
VII. Chứng khoán đầu tư,"88,121","75,050","78,350","76,485","79,949"
1. Chứng khoán đầu tư sẵn sàng để bán,"87,411","74,487","77,730","75,960","79,555"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,984,974,963,854,846
3. Dự phòng giảm giá chứng khoán đầu tư,-274,-411,-344,-329,-452
"VIII. Góp vốn, đầu tư dài hạn",134,152,174,239,239
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,239,239,239,239,239
