VPB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,857","9,168","9,730","9,996","9,955"
2. Chi phí lãi và các chi phí tương tự,"3,494","3,487","3,703","3,836","3,952"
I. Thu nhập lãi thuần,"5,363","5,681","6,027","6,160","6,002"
3. Thu nhập từ hoạt động dịch vụ,878,951,870,828,977
4. Chi phí hoạt động dịch vụ,475,538,555,538,577
II. Lãi/lỗ thuần từ hoạt động dịch vụ,403,413,314,290,400
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,0,-116,-20,53,218
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,85,58,30,-112,42
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-16,11,178,16,74
5. Thu nhập từ hoạt động khác,473,"1,421","1,254",609,"1,071"
6. Chi phí hoạt động khác,29,72,123,164,205
VI. Lãi/lỗ thuần từ hoạt động khác,443,"1,349","1,131",444,866
"VII. Thu nhập từ góp vốn, mua cổ phần",1,53,,1,
VIII. Chi phí hoạt động,"2,281","2,576","2,389","2,300","3,104"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,997","4,873","5,271","4,551","4,497"
X. Chi phí dự phòng rủi ro tín dụng,"1,625","2,382","2,652","2,794","2,748"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,372","2,491","2,619","1,757","1,749"
7. Chi phí thuế TNDN hiện hành,477,553,530,341,350
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,477,553,530,341,350
XIII. Lợi nhuận sau thuế (XI-XII),"1,895","1,938","2,089","1,415","1,399"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,895","1,938","2,089","1,415","1,399"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
