VRE,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"10,036","11,393","12,384","12,589","12,312"
I. Tiền và các khoản tương đương tiền,"4,102","2,921","1,003","3,427","2,885"
1. Tiền,"4,052","1,062","1,003","3,427","2,885"
2. Các khoản tương đương tiền,50,"1,859",,,
II.  Đầu tư tài chính ngắn hạn,"1,071","1,017",114,"1,458",126
1. Chứng khoán kinh doanh,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,"1,071","1,017",114,"1,458",126
III. Các khoản phải thu ngắn hạn,"1,613","4,322","5,520","1,942","2,016"
1. Phải thu ngắn hạn của khách hàng,"1,461","1,456","1,663","1,710","1,674"
2. Trả trước cho người bán ngắn hạn,78,81,66,116,95
3. Phải thu nội bộ ngắn hạn,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"2,350","2,350",,,
6. Phải thu ngắn hạn khác,297,708,"1,778",522,711
7. Dự phòng phải thu ngắn hạn khó đòi (*),-222,-273,-338,-406,-463
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,640,511,229,251,295
1. Hàng tồn kho,640,511,229,251,295
2. Dự phòng giảm giá hàng tồn kho (*),,,,,
V. Tài sản ngắn hạn khác,"2,611","2,622","5,518","5,511","6,990"
1. Chi phí trả trước ngắn hạn,73,85,72,96,84
2. Thuế GTGT được khấu trừ,22,21,31,52,
3. Thuế và các khoản khác phải thu của nhà nước,1,1,1,1,1
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
5. Tài sản ngắn hạn khác,"2,515","2,515","5,414","5,414","6,854"
B. TÀI SẢN DÀI HẠN,"37,617","37,623","39,945","40,586","42,914"
I. Các khoản phải thu dài hạn,12,10,459,673,19
1. Phải thu dài hạn của khách hàng,,,,,
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
