VRE,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,686","1,630","1,760","3,253","2,226"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,686","1,630","1,760","3,253","2,226"
4. Giá vốn hàng bán,927,984,916,"1,681","1,058"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,759,646,845,"1,572","1,168"
6.Doanh thu hoạt động tài chính,47,58,77,94,102
7. Chi phí tài chính,79,100,126,162,154
Trong đó :Chi phí lãi vay,79,99,125,161,153
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,61,45,40,185,92
10. Chi phí quản lý doanh nghiệp,90,92,84,133,64
11. Lợi nhuận thuần từ hoạt động kinh doanh,575,467,673,"1,186",960
12. Thu nhập khác,45,-18,47,49,21
13. Chi phí khác,1,4,4,24,1
14. Lợi nhuận khác,44,-22,44,25,20
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,0
15. Tổng lợi nhuận kế toán trước thuế,619,446,716,"1,211",980
16. Chi phí thuế TNDN hiện hành,128,103,145,244,199
17. Chi phí thuế TNDN hoãn lại,-1,0,-1,-7,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,492,343,572,975,781
Lợi ích của cổ đông thiểu số,0,0,0,0,0
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,492,343,572,974,781
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
