VRE,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,235","1,523","1,618","1,516","2,949"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,235","1,523","1,618","1,516","2,949"
4. Giá vốn hàng bán,642,737,817,763,"1,995"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,592,786,801,753,954
6.Doanh thu hoạt động tài chính,143,137,187,147,96
7. Chi phí tài chính,139,128,132,100,112
Trong đó :Chi phí lãi vay,139,128,131,100,72
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,39,92,60,34,191
10. Chi phí quản lý doanh nghiệp,120,46,96,35,79
11. Lợi nhuận thuần từ hoạt động kinh doanh,438,656,700,731,669
12. Thu nhập khác,7,13,8,43,12
13. Chi phí khác,10,9,6,1,5
14. Lợi nhuận khác,-3,4,2,41,7
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,435,660,702,772,675
16. Chi phí thuế TNDN hiện hành,84,136,158,152,111
17. Chi phí thuế TNDN hoãn lại,-23,-5,2,0,8
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,374,528,541,620,556
Lợi ích của cổ đông thiểu số,,0,0,0,1
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,374,528,541,620,554
19. Lãi cơ bản trên cổ phiếu (*),,,,,
20. Lãi suy giảm trên cổ phiếu (*),,,,,
