report_id,index,value,ingestion_date,updated_date
ACBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",6909,2025-03-14,2025-03-14
ACBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",6470,2025-03-14,2025-03-14
ACBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",6594,2025-03-14,2025-03-14
ACBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",5871,2025-03-14,2025-03-14
ACBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",5696,2025-03-14,2025-03-14
ACBBCKQKDQ42023,II. Tiền gửi tại NHNN,18505,2025-03-14,2025-03-14
ACBBCKQKDQ12024,II. Tiền gửi tại NHNN,7852,2025-03-14,2025-03-14
ACBBCKQKDQ22024,II. Tiền gửi tại NHNN,15725,2025-03-14,2025-03-14
ACBBCKQKDQ32024,II. Tiền gửi tại NHNN,8392,2025-03-14,2025-03-14
ACBBCKQKDQ42024,II. Tiền gửi tại NHNN,25220,2025-03-14,2025-03-14
ACBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",114874,2025-03-14,2025-03-14
ACBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",121951,2025-03-14,2025-03-14
ACBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",105419,2025-03-14,2025-03-14
ACBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",92090,2025-03-14,2025-03-14
ACBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",117882,2025-03-14,2025-03-14
ACBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",114644,2025-03-14,2025-03-14
ACBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",120069,2025-03-14,2025-03-14
ACBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",103684,2025-03-14,2025-03-14
ACBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",92090,2025-03-14,2025-03-14
ACBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",117781,2025-03-14,2025-03-14
ACBBCKQKDQ42023,2. Cho vay các TCTD khác,280,2025-03-14,2025-03-14
ACBBCKQKDQ12024,2. Cho vay các TCTD khác,1932,2025-03-14,2025-03-14
ACBBCKQKDQ22024,2. Cho vay các TCTD khác,1785,2025-03-14,2025-03-14
ACBBCKQKDQ32024,2. Cho vay các TCTD khác,50,2025-03-14,2025-03-14
ACBBCKQKDQ42024,2. Cho vay các TCTD khác,151,2025-03-14,2025-03-14
ACBBCKQKDQ42023,3. Dự phòng rủi ro cho vay các TCTD khác,-50,2025-03-14,2025-03-14
ACBBCKQKDQ12024,3. Dự phòng rủi ro cho vay các TCTD khác,-50,2025-03-14,2025-03-14
ACBBCKQKDQ22024,3. Dự phòng rủi ro cho vay các TCTD khác,-50,2025-03-14,2025-03-14
ACBBCKQKDQ32024,3. Dự phòng rủi ro cho vay các TCTD khác,-50,2025-03-14,2025-03-14
ACBBCKQKDQ42024,3. Dự phòng rủi ro cho vay các TCTD khác,-50,2025-03-14,2025-03-14
ACBBCKQKDQ42023,IV. Chứng khoán kinh doanh,7177,2025-03-14,2025-03-14
ACBBCKQKDQ12024,IV. Chứng khoán kinh doanh,7378,2025-03-14,2025-03-14
ACBBCKQKDQ22024,IV. Chứng khoán kinh doanh,6125,2025-03-14,2025-03-14
ACBBCKQKDQ32024,IV. Chứng khoán kinh doanh,6966,2025-03-14,2025-03-14
ACBBCKQKDQ42024,IV. Chứng khoán kinh doanh,3881,2025-03-14,2025-03-14
ACBBCKQKDQ42023,1. Chứng khoán kinh doanh,7323,2025-03-14,2025-03-14
ACBBCKQKDQ12024,1. Chứng khoán kinh doanh,7469,2025-03-14,2025-03-14
ACBBCKQKDQ22024,1. Chứng khoán kinh doanh,6236,2025-03-14,2025-03-14
ACBBCKQKDQ32024,1. Chứng khoán kinh doanh,7059,2025-03-14,2025-03-14
ACBBCKQKDQ42024,1. Chứng khoán kinh doanh,4029,2025-03-14,2025-03-14
ACBBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh,-146,2025-03-14,2025-03-14
ACBBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh,-91,2025-03-14,2025-03-14
ACBBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh,-111,2025-03-14,2025-03-14
ACBBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh,-94,2025-03-14,2025-03-14
ACBBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh,-148,2025-03-14,2025-03-14
ACBBCKQKDQ42023,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,268,2025-03-14,2025-03-14
ACBBCKQKDQ12024,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,56,2025-03-14,2025-03-14
ACBBCKQKDQ42023,VI. Cho vay khách hàng,482235,2025-03-14,2025-03-14
ACBBCKQKDQ12024,VI. Cho vay khách hàng,500340,2025-03-14,2025-03-14
ACBBCKQKDQ22024,VI. Cho vay khách hàng,543853,2025-03-14,2025-03-14
ACBBCKQKDQ32024,VI. Cho vay khách hàng,548247,2025-03-14,2025-03-14
ACBBCKQKDQ42024,VI. Cho vay khách hàng,573947,2025-03-14,2025-03-14
ACBBCKQKDQ42023,1. Cho vay và cho thuê tài chính khách hàng,487602,2025-03-14,2025-03-14
ACBBCKQKDQ12024,1. Cho vay và cho thuê tài chính khách hàng,506112,2025-03-14,2025-03-14
ACBBCKQKDQ22024,1. Cho vay và cho thuê tài chính khách hàng,550172,2025-03-14,2025-03-14
ACBBCKQKDQ32024,1. Cho vay và cho thuê tài chính khách hàng,554908,2025-03-14,2025-03-14
ACBBCKQKDQ42024,1. Cho vay và cho thuê tài chính khách hàng,580686,2025-03-14,2025-03-14
ACBBCKQKDQ42023,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-5367,2025-03-14,2025-03-14
ACBBCKQKDQ12024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-5773,2025-03-14,2025-03-14
ACBBCKQKDQ22024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-6319,2025-03-14,2025-03-14
ACBBCKQKDQ32024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-6661,2025-03-14,2025-03-14
ACBBCKQKDQ42024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-6740,2025-03-14,2025-03-14
ACBBCKQKDQ42023,VII. Chứng khoán đầu tư,73463,2025-03-14,2025-03-14
ACBBCKQKDQ12024,VII. Chứng khoán đầu tư,68000,2025-03-14,2025-03-14
ACBBCKQKDQ22024,VII. Chứng khoán đầu tư,77090,2025-03-14,2025-03-14
ACBBCKQKDQ32024,VII. Chứng khoán đầu tư,100862,2025-03-14,2025-03-14
ACBBCKQKDQ42024,VII. Chứng khoán đầu tư,121090,2025-03-14,2025-03-14
ACBBCKQKDQ42023,1. Chứng khoán đầu tư sẵn sàng để bán,44904,2025-03-14,2025-03-14
ACBBCKQKDQ12024,1. Chứng khoán đầu tư sẵn sàng để bán,45959,2025-03-14,2025-03-14
ACBBCKQKDQ22024,1. Chứng khoán đầu tư sẵn sàng để bán,61664,2025-03-14,2025-03-14
ACBBCKQKDQ32024,1. Chứng khoán đầu tư sẵn sàng để bán,88938,2025-03-14,2025-03-14
ACBBCKQKDQ42024,1. Chứng khoán đầu tư sẵn sàng để bán,108918,2025-03-14,2025-03-14
ACBBCKQKDQ42023,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,28560,2025-03-14,2025-03-14
ACBBCKQKDQ12024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,22041,2025-03-14,2025-03-14
ACBBCKQKDQ22024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,15438,2025-03-14,2025-03-14
ACBBCKQKDQ32024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,11931,2025-03-14,2025-03-14
ACBBCKQKDQ42024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,12172,2025-03-14,2025-03-14
ACBBCKQKDQ42023,3. Dự phòng giảm giá chứng khoán đầu tư,-12,2025-03-14,2025-03-14
ACBBCKQKDQ12024,3. Dự phòng giảm giá chứng khoán đầu tư,-7,2025-03-14,2025-03-14
ACBBCKQKDQ42023,"VIII. Góp vốn, đầu tư dài hạn",140,2025-03-14,2025-03-14
ACBBCKQKDQ12024,"VIII. Góp vốn, đầu tư dài hạn",140,2025-03-14,2025-03-14
ACBBCKQKDQ22024,"VIII. Góp vốn, đầu tư dài hạn",129,2025-03-14,2025-03-14
ACBBCKQKDQ32024,"VIII. Góp vốn, đầu tư dài hạn",127,2025-03-14,2025-03-14
ACBBCKQKDQ42024,"VIII. Góp vốn, đầu tư dài hạn",125,2025-03-14,2025-03-14
ACBBCKQKDQ42023,3. Đầu tư dài hạn khác,303,2025-03-14,2025-03-14
ACBBCKQKDQ12024,3. Đầu tư dài hạn khác,303,2025-03-14,2025-03-14
ACBBCKQKDQ22024,3. Đầu tư dài hạn khác,293,2025-03-14,2025-03-14
ACBBCKQKDQ32024,3. Đầu tư dài hạn khác,293,2025-03-14,2025-03-14
ACBBCKQKDQ42024,3. Đầu tư dài hạn khác,293,2025-03-14,2025-03-14
ACBBCKQKDQ42023,4. Dự phòng giảm giá đầu tư dài hạn,-163,2025-03-14,2025-03-14
ACBBCKQKDQ12024,4. Dự phòng giảm giá đầu tư dài hạn,-163,2025-03-14,2025-03-14
ACBBCKQKDQ22024,4. Dự phòng giảm giá đầu tư dài hạn,-164,2025-03-14,2025-03-14
ACBBCKQKDQ32024,4. Dự phòng giảm giá đầu tư dài hạn,-165,2025-03-14,2025-03-14
ACBBCKQKDQ42024,4. Dự phòng giảm giá đầu tư dài hạn,-168,2025-03-14,2025-03-14
ACBBCKQKDQ42023,IX. Tài sản cố định,4763,2025-03-14,2025-03-14
ACBBCKQKDQ12024,IX. Tài sản cố định,4671,2025-03-14,2025-03-14
ACBBCKQKDQ22024,IX. Tài sản cố định,4666,2025-03-14,2025-03-14
ACBBCKQKDQ32024,IX. Tài sản cố định,4643,2025-03-14,2025-03-14
ACBBCKQKDQ42024,IX. Tài sản cố định,5412,2025-03-14,2025-03-14
