report_id,index,value,ingestion_date,updated_date
BCMBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,31086,2025-03-14,2025-03-14
BCMBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,28161,2025-03-14,2025-03-14
BCMBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,28455,2025-03-14,2025-03-14
BCMBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,28158,2025-03-14,2025-03-14
BCMBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,31833,2025-03-14,2025-03-14
BCMBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,1332,2025-03-14,2025-03-14
BCMBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,2480,2025-03-14,2025-03-14
BCMBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,2100,2025-03-14,2025-03-14
BCMBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,663,2025-03-14,2025-03-14
BCMBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,2210,2025-03-14,2025-03-14
BCMBCKQKDQ42023,1. Tiền,1146,2025-03-14,2025-03-14
BCMBCKQKDQ12024,1. Tiền,1106,2025-03-14,2025-03-14
BCMBCKQKDQ22024,1. Tiền,1516,2025-03-14,2025-03-14
BCMBCKQKDQ32024,1. Tiền,512,2025-03-14,2025-03-14
BCMBCKQKDQ42024,1. Tiền,2073,2025-03-14,2025-03-14
BCMBCKQKDQ42023,2. Các khoản tương đương tiền,187,2025-03-14,2025-03-14
BCMBCKQKDQ12024,2. Các khoản tương đương tiền,1374,2025-03-14,2025-03-14
BCMBCKQKDQ22024,2. Các khoản tương đương tiền,584,2025-03-14,2025-03-14
BCMBCKQKDQ32024,2. Các khoản tương đương tiền,151,2025-03-14,2025-03-14
BCMBCKQKDQ42024,2. Các khoản tương đương tiền,137,2025-03-14,2025-03-14
BCMBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,87,2025-03-14,2025-03-14
BCMBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,230,2025-03-14,2025-03-14
BCMBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,264,2025-03-14,2025-03-14
BCMBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,280,2025-03-14,2025-03-14
BCMBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,295,2025-03-14,2025-03-14
BCMBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,87,2025-03-14,2025-03-14
BCMBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,230,2025-03-14,2025-03-14
BCMBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,264,2025-03-14,2025-03-14
BCMBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,280,2025-03-14,2025-03-14
BCMBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,295,2025-03-14,2025-03-14
BCMBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,7067,2025-03-14,2025-03-14
BCMBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,4869,2025-03-14,2025-03-14
BCMBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,5327,2025-03-14,2025-03-14
BCMBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,6213,2025-03-14,2025-03-14
BCMBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,8066,2025-03-14,2025-03-14
BCMBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,5804,2025-03-14,2025-03-14
BCMBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,3113,2025-03-14,2025-03-14
BCMBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,4071,2025-03-14,2025-03-14
BCMBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,4555,2025-03-14,2025-03-14
BCMBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,5352,2025-03-14,2025-03-14
BCMBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,252,2025-03-14,2025-03-14
BCMBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,254,2025-03-14,2025-03-14
BCMBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,248,2025-03-14,2025-03-14
BCMBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,242,2025-03-14,2025-03-14
BCMBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,860,2025-03-14,2025-03-14
BCMBCKQKDQ42023,3. Phải thu nội bộ ngắn hạn,1,2025-03-14,2025-03-14
BCMBCKQKDQ42023,5. Phải thu về cho vay ngắn hạn,5,2025-03-14,2025-03-14
BCMBCKQKDQ12024,5. Phải thu về cho vay ngắn hạn,5,2025-03-14,2025-03-14
BCMBCKQKDQ22024,5. Phải thu về cho vay ngắn hạn,5,2025-03-14,2025-03-14
BCMBCKQKDQ32024,5. Phải thu về cho vay ngắn hạn,5,2025-03-14,2025-03-14
BCMBCKQKDQ42024,5. Phải thu về cho vay ngắn hạn,5,2025-03-14,2025-03-14
BCMBCKQKDQ42023,6. Phải thu ngắn hạn khác,1066,2025-03-14,2025-03-14
BCMBCKQKDQ12024,6. Phải thu ngắn hạn khác,1555,2025-03-14,2025-03-14
BCMBCKQKDQ22024,6. Phải thu ngắn hạn khác,1123,2025-03-14,2025-03-14
BCMBCKQKDQ32024,6. Phải thu ngắn hạn khác,1532,2025-03-14,2025-03-14
BCMBCKQKDQ42024,6. Phải thu ngắn hạn khác,1979,2025-03-14,2025-03-14
BCMBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-59,2025-03-14,2025-03-14
BCMBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-58,2025-03-14,2025-03-14
BCMBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-121,2025-03-14,2025-03-14
BCMBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-121,2025-03-14,2025-03-14
BCMBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-129,2025-03-14,2025-03-14
BCMBCKQKDQ42023,IV. Hàng tồn kho,22448,2025-03-14,2025-03-14
BCMBCKQKDQ12024,IV. Hàng tồn kho,20348,2025-03-14,2025-03-14
BCMBCKQKDQ22024,IV. Hàng tồn kho,20648,2025-03-14,2025-03-14
BCMBCKQKDQ32024,IV. Hàng tồn kho,20903,2025-03-14,2025-03-14
BCMBCKQKDQ42024,IV. Hàng tồn kho,21206,2025-03-14,2025-03-14
BCMBCKQKDQ42023,1. Hàng tồn kho,22449,2025-03-14,2025-03-14
BCMBCKQKDQ12024,1. Hàng tồn kho,20349,2025-03-14,2025-03-14
BCMBCKQKDQ22024,1. Hàng tồn kho,20649,2025-03-14,2025-03-14
BCMBCKQKDQ32024,1. Hàng tồn kho,20904,2025-03-14,2025-03-14
BCMBCKQKDQ42024,1. Hàng tồn kho,21207,2025-03-14,2025-03-14
BCMBCKQKDQ42023,2. Dự phòng giảm giá hàng tồn kho (*),-1,2025-03-14,2025-03-14
BCMBCKQKDQ12024,2. Dự phòng giảm giá hàng tồn kho (*),-1,2025-03-14,2025-03-14
BCMBCKQKDQ22024,2. Dự phòng giảm giá hàng tồn kho (*),-1,2025-03-14,2025-03-14
BCMBCKQKDQ32024,2. Dự phòng giảm giá hàng tồn kho (*),-1,2025-03-14,2025-03-14
BCMBCKQKDQ42024,2. Dự phòng giảm giá hàng tồn kho (*),-1,2025-03-14,2025-03-14
BCMBCKQKDQ42023,V. Tài sản ngắn hạn khác,151,2025-03-14,2025-03-14
BCMBCKQKDQ12024,V. Tài sản ngắn hạn khác,234,2025-03-14,2025-03-14
BCMBCKQKDQ22024,V. Tài sản ngắn hạn khác,117,2025-03-14,2025-03-14
BCMBCKQKDQ32024,V. Tài sản ngắn hạn khác,99,2025-03-14,2025-03-14
BCMBCKQKDQ42024,V. Tài sản ngắn hạn khác,56,2025-03-14,2025-03-14
BCMBCKQKDQ42023,1. Chi phí trả trước ngắn hạn,50,2025-03-14,2025-03-14
BCMBCKQKDQ12024,1. Chi phí trả trước ngắn hạn,131,2025-03-14,2025-03-14
BCMBCKQKDQ22024,1. Chi phí trả trước ngắn hạn,36,2025-03-14,2025-03-14
BCMBCKQKDQ32024,1. Chi phí trả trước ngắn hạn,27,2025-03-14,2025-03-14
BCMBCKQKDQ42024,1. Chi phí trả trước ngắn hạn,35,2025-03-14,2025-03-14
BCMBCKQKDQ42023,2. Thuế GTGT được khấu trừ,94,2025-03-14,2025-03-14
BCMBCKQKDQ12024,2. Thuế GTGT được khấu trừ,93,2025-03-14,2025-03-14
BCMBCKQKDQ22024,2. Thuế GTGT được khấu trừ,72,2025-03-14,2025-03-14
BCMBCKQKDQ32024,2. Thuế GTGT được khấu trừ,64,2025-03-14,2025-03-14
BCMBCKQKDQ42024,2. Thuế GTGT được khấu trừ,18,2025-03-14,2025-03-14
BCMBCKQKDQ42023,3. Thuế và các khoản khác phải thu của nhà nước,7,2025-03-14,2025-03-14
BCMBCKQKDQ12024,3. Thuế và các khoản khác phải thu của nhà nước,10,2025-03-14,2025-03-14
BCMBCKQKDQ22024,3. Thuế và các khoản khác phải thu của nhà nước,9,2025-03-14,2025-03-14
BCMBCKQKDQ32024,3. Thuế và các khoản khác phải thu của nhà nước,9,2025-03-14,2025-03-14
BCMBCKQKDQ42024,3. Thuế và các khoản khác phải thu của nhà nước,2,2025-03-14,2025-03-14
BCMBCKQKDQ42023,B. TÀI SẢN DÀI HẠN,22094,2025-03-14,2025-03-14
BCMBCKQKDQ12024,B. TÀI SẢN DÀI HẠN,25909,2025-03-14,2025-03-14
BCMBCKQKDQ22024,B. TÀI SẢN DÀI HẠN,26574,2025-03-14,2025-03-14
BCMBCKQKDQ32024,B. TÀI SẢN DÀI HẠN,26283,2025-03-14,2025-03-14
BCMBCKQKDQ42024,B. TÀI SẢN DÀI HẠN,26944,2025-03-14,2025-03-14
BCMBCKQKDQ42023,I. Các khoản phải thu dài hạn,572,2025-03-14,2025-03-14
BCMBCKQKDQ12024,I. Các khoản phải thu dài hạn,517,2025-03-14,2025-03-14
BCMBCKQKDQ22024,I. Các khoản phải thu dài hạn,479,2025-03-14,2025-03-14
BCMBCKQKDQ32024,I. Các khoản phải thu dài hạn,261,2025-03-14,2025-03-14
BCMBCKQKDQ42024,I. Các khoản phải thu dài hạn,244,2025-03-14,2025-03-14
BCMBCKQKDQ42023,1. Phải thu dài hạn của khách hàng,143,2025-03-14,2025-03-14
BCMBCKQKDQ12024,1. Phải thu dài hạn của khách hàng,127,2025-03-14,2025-03-14
BCMBCKQKDQ22024,1. Phải thu dài hạn của khách hàng,89,2025-03-14,2025-03-14
BCMBCKQKDQ32024,1. Phải thu dài hạn của khách hàng,86,2025-03-14,2025-03-14
BCMBCKQKDQ42024,1. Phải thu dài hạn của khách hàng,89,2025-03-14,2025-03-14
BCMBCKQKDQ42023,6. Phải thu dài hạn khác,429,2025-03-14,2025-03-14
BCMBCKQKDQ12024,6. Phải thu dài hạn khác,390,2025-03-14,2025-03-14
BCMBCKQKDQ22024,6. Phải thu dài hạn khác,390,2025-03-14,2025-03-14
BCMBCKQKDQ32024,6. Phải thu dài hạn khác,175,2025-03-14,2025-03-14
BCMBCKQKDQ42024,6. Phải thu dài hạn khác,154,2025-03-14,2025-03-14
BCMBCKQKDQ42023,II. Tài sản cố định,1175,2025-03-14,2025-03-14
BCMBCKQKDQ12024,II. Tài sản cố định,1126,2025-03-14,2025-03-14
BCMBCKQKDQ22024,II. Tài sản cố định,1117,2025-03-14,2025-03-14
BCMBCKQKDQ32024,II. Tài sản cố định,1076,2025-03-14,2025-03-14
BCMBCKQKDQ42024,II. Tài sản cố định,1050,2025-03-14,2025-03-14
