report_id,index,value,ingestion_date,updated_date
BIDBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",11029,2025-03-14,2025-03-14
BIDBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",10422,2025-03-14,2025-03-14
BIDBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",10283,2025-03-14,2025-03-14
BIDBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",11014,2025-03-14,2025-03-14
BIDBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",10773,2025-03-14,2025-03-14
BIDBCKQKDQ42023,II. Tiền gửi tại NHNN,51616,2025-03-14,2025-03-14
BIDBCKQKDQ12024,II. Tiền gửi tại NHNN,36834,2025-03-14,2025-03-14
BIDBCKQKDQ22024,II. Tiền gửi tại NHNN,52441,2025-03-14,2025-03-14
BIDBCKQKDQ32024,II. Tiền gửi tại NHNN,47436,2025-03-14,2025-03-14
BIDBCKQKDQ42024,II. Tiền gửi tại NHNN,92341,2025-03-14,2025-03-14
BIDBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",211809,2025-03-14,2025-03-14
BIDBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",231694,2025-03-14,2025-03-14
BIDBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",266800,2025-03-14,2025-03-14
BIDBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",257504,2025-03-14,2025-03-14
BIDBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",279972,2025-03-14,2025-03-14
BIDBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",197329,2025-03-14,2025-03-14
BIDBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",220779,2025-03-14,2025-03-14
BIDBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",256347,2025-03-14,2025-03-14
BIDBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",245517,2025-03-14,2025-03-14
BIDBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",268366,2025-03-14,2025-03-14
BIDBCKQKDQ42023,2. Cho vay các TCTD khác,14564,2025-03-14,2025-03-14
BIDBCKQKDQ12024,2. Cho vay các TCTD khác,10998,2025-03-14,2025-03-14
BIDBCKQKDQ22024,2. Cho vay các TCTD khác,10544,2025-03-14,2025-03-14
BIDBCKQKDQ32024,2. Cho vay các TCTD khác,12082,2025-03-14,2025-03-14
BIDBCKQKDQ42024,2. Cho vay các TCTD khác,11686,2025-03-14,2025-03-14
BIDBCKQKDQ42023,3. Dự phòng rủi ro cho vay các TCTD khác,-85,2025-03-14,2025-03-14
BIDBCKQKDQ12024,3. Dự phòng rủi ro cho vay các TCTD khác,-83,2025-03-14,2025-03-14
BIDBCKQKDQ22024,3. Dự phòng rủi ro cho vay các TCTD khác,-92,2025-03-14,2025-03-14
BIDBCKQKDQ32024,3. Dự phòng rủi ro cho vay các TCTD khác,-94,2025-03-14,2025-03-14
BIDBCKQKDQ42024,3. Dự phòng rủi ro cho vay các TCTD khác,-81,2025-03-14,2025-03-14
BIDBCKQKDQ42023,IV. Chứng khoán kinh doanh,6972,2025-03-14,2025-03-14
BIDBCKQKDQ12024,IV. Chứng khoán kinh doanh,6973,2025-03-14,2025-03-14
BIDBCKQKDQ22024,IV. Chứng khoán kinh doanh,8186,2025-03-14,2025-03-14
BIDBCKQKDQ32024,IV. Chứng khoán kinh doanh,13275,2025-03-14,2025-03-14
BIDBCKQKDQ42024,IV. Chứng khoán kinh doanh,12734,2025-03-14,2025-03-14
BIDBCKQKDQ42023,1. Chứng khoán kinh doanh,7004,2025-03-14,2025-03-14
