report_id,index,value,ingestion_date,updated_date
BVHBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),122497,2025-03-14,2025-03-14
BVHBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),122492,2025-03-14,2025-03-14
BVHBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),116496,2025-03-14,2025-03-14
BVHBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),111208,2025-03-14,2025-03-14
BVHBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN (100=110+120+130+140+150+190),121165,2025-03-14,2025-03-14
BVHBCKQKDQ42023,I.   Tiền và các khoản tương đương tiền,4789,2025-03-14,2025-03-14
BVHBCKQKDQ12024,I.   Tiền và các khoản tương đương tiền,7528,2025-03-14,2025-03-14
BVHBCKQKDQ22024,I.   Tiền và các khoản tương đương tiền,6317,2025-03-14,2025-03-14
BVHBCKQKDQ32024,I.   Tiền và các khoản tương đương tiền,2492,2025-03-14,2025-03-14
BVHBCKQKDQ42024,I.   Tiền và các khoản tương đương tiền,1461,2025-03-14,2025-03-14
BVHBCKQKDQ42023,1. Tiền,1063,2025-03-14,2025-03-14
BVHBCKQKDQ12024,1. Tiền,2237,2025-03-14,2025-03-14
BVHBCKQKDQ22024,1. Tiền,1382,2025-03-14,2025-03-14
BVHBCKQKDQ32024,1. Tiền,1279,2025-03-14,2025-03-14
BVHBCKQKDQ42024,1. Tiền,1271,2025-03-14,2025-03-14
BVHBCKQKDQ42023,2. Các khoản tương đương tiền,3726,2025-03-14,2025-03-14
BVHBCKQKDQ12024,2. Các khoản tương đương tiền,5291,2025-03-14,2025-03-14
BVHBCKQKDQ22024,2. Các khoản tương đương tiền,4935,2025-03-14,2025-03-14
BVHBCKQKDQ32024,2. Các khoản tương đương tiền,1213,2025-03-14,2025-03-14
BVHBCKQKDQ42024,2. Các khoản tương đương tiền,190,2025-03-14,2025-03-14
BVHBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,101566,2025-03-14,2025-03-14
BVHBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,99078,2025-03-14,2025-03-14
BVHBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,94196,2025-03-14,2025-03-14
BVHBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,93251,2025-03-14,2025-03-14
BVHBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,103899,2025-03-14,2025-03-14
BVHBCKQKDQ42023,1. Chứng khoán kinh doanh,3267,2025-03-14,2025-03-14
BVHBCKQKDQ12024,1. Chứng khoán kinh doanh,3293,2025-03-14,2025-03-14
BVHBCKQKDQ22024,1. Chứng khoán kinh doanh,3580,2025-03-14,2025-03-14
BVHBCKQKDQ32024,1. Chứng khoán kinh doanh,3684,2025-03-14,2025-03-14
BVHBCKQKDQ42024,1. Chứng khoán kinh doanh,3660,2025-03-14,2025-03-14
BVHBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-206,2025-03-14,2025-03-14
BVHBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-131,2025-03-14,2025-03-14
BVHBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-158,2025-03-14,2025-03-14
BVHBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-171,2025-03-14,2025-03-14
BVHBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-203,2025-03-14,2025-03-14
BVHBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,98505,2025-03-14,2025-03-14
BVHBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,95915,2025-03-14,2025-03-14
BVHBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,90773,2025-03-14,2025-03-14
BVHBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,89738,2025-03-14,2025-03-14
BVHBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,100441,2025-03-14,2025-03-14
BVHBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,12376,2025-03-14,2025-03-14
BVHBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,12103,2025-03-14,2025-03-14
BVHBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,12289,2025-03-14,2025-03-14
BVHBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,10893,2025-03-14,2025-03-14
BVHBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,11505,2025-03-14,2025-03-14
BVHBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,8982,2025-03-14,2025-03-14
BVHBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,8001,2025-03-14,2025-03-14
BVHBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,8047,2025-03-14,2025-03-14
BVHBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,7398,2025-03-14,2025-03-14
BVHBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,7873,2025-03-14,2025-03-14
BVHBCKQKDQ42023,1.1. Phải thu về hợp đồng bảo hiểm,1479,2025-03-14,2025-03-14
