report_id,index,value,ingestion_date,updated_date
CTGBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",9760,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",9408,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",9458,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",10239,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",11148,2025-03-14,2025-03-14
CTGBCKQKDQ42023,II. Tiền gửi tại NHNN,40597,2025-03-14,2025-03-14
CTGBCKQKDQ12024,II. Tiền gửi tại NHNN,17341,2025-03-14,2025-03-14
CTGBCKQKDQ22024,II. Tiền gửi tại NHNN,28980,2025-03-14,2025-03-14
CTGBCKQKDQ32024,II. Tiền gửi tại NHNN,26612,2025-03-14,2025-03-14
CTGBCKQKDQ42024,II. Tiền gửi tại NHNN,34432,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",279842,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",332707,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",351234,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",378231,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",378483,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",259230,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",314264,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",334405,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",367173,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",370530,2025-03-14,2025-03-14
CTGBCKQKDQ42023,2. Cho vay các TCTD khác,20612,2025-03-14,2025-03-14
CTGBCKQKDQ12024,2. Cho vay các TCTD khác,18443,2025-03-14,2025-03-14
CTGBCKQKDQ22024,2. Cho vay các TCTD khác,16829,2025-03-14,2025-03-14
CTGBCKQKDQ32024,2. Cho vay các TCTD khác,11059,2025-03-14,2025-03-14
CTGBCKQKDQ42024,2. Cho vay các TCTD khác,7953,2025-03-14,2025-03-14
CTGBCKQKDQ42023,IV. Chứng khoán kinh doanh,2488,2025-03-14,2025-03-14
CTGBCKQKDQ12024,IV. Chứng khoán kinh doanh,1935,2025-03-14,2025-03-14
CTGBCKQKDQ22024,IV. Chứng khoán kinh doanh,2259,2025-03-14,2025-03-14
CTGBCKQKDQ32024,IV. Chứng khoán kinh doanh,3234,2025-03-14,2025-03-14
CTGBCKQKDQ42024,IV. Chứng khoán kinh doanh,2798,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Chứng khoán kinh doanh,2676,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Chứng khoán kinh doanh,2119,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Chứng khoán kinh doanh,2440,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Chứng khoán kinh doanh,3418,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Chứng khoán kinh doanh,2991,2025-03-14,2025-03-14
CTGBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh,-188,2025-03-14,2025-03-14
CTGBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh,-184,2025-03-14,2025-03-14
CTGBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh,-181,2025-03-14,2025-03-14
CTGBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh,-184,2025-03-14,2025-03-14
CTGBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh,-193,2025-03-14,2025-03-14
CTGBCKQKDQ42023,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,265,2025-03-14,2025-03-14
CTGBCKQKDQ12024,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,351,2025-03-14,2025-03-14
CTGBCKQKDQ42023,VI. Cho vay khách hàng,1445572,2025-03-14,2025-03-14
CTGBCKQKDQ12024,VI. Cho vay khách hàng,1483622,2025-03-14,2025-03-14
CTGBCKQKDQ22024,VI. Cho vay khách hàng,1543489,2025-03-14,2025-03-14
CTGBCKQKDQ32024,VI. Cho vay khách hàng,1569844,2025-03-14,2025-03-14
CTGBCKQKDQ42024,VI. Cho vay khách hàng,1685291,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Cho vay và cho thuê tài chính khách hàng,1473345,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Cho vay và cho thuê tài chính khách hàng,1514398,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Cho vay và cho thuê tài chính khách hàng,1571529,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Cho vay và cho thuê tài chính khách hàng,1605381,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Cho vay và cho thuê tài chính khách hàng,1721955,2025-03-14,2025-03-14
CTGBCKQKDQ42023,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-27773,2025-03-14,2025-03-14
CTGBCKQKDQ12024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-30775,2025-03-14,2025-03-14
CTGBCKQKDQ22024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-28040,2025-03-14,2025-03-14
CTGBCKQKDQ32024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-35537,2025-03-14,2025-03-14
CTGBCKQKDQ42024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-36664,2025-03-14,2025-03-14
CTGBCKQKDQ42023,VII. Chứng khoán đầu tư,181311,2025-03-14,2025-03-14
CTGBCKQKDQ12024,VII. Chứng khoán đầu tư,164156,2025-03-14,2025-03-14
CTGBCKQKDQ22024,VII. Chứng khoán đầu tư,159855,2025-03-14,2025-03-14
CTGBCKQKDQ32024,VII. Chứng khoán đầu tư,181056,2025-03-14,2025-03-14
CTGBCKQKDQ42024,VII. Chứng khoán đầu tư,214608,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Chứng khoán đầu tư sẵn sàng để bán,180695,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Chứng khoán đầu tư sẵn sàng để bán,158650,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Chứng khoán đầu tư sẵn sàng để bán,149385,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Chứng khoán đầu tư sẵn sàng để bán,159436,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Chứng khoán đầu tư sẵn sàng để bán,188557,2025-03-14,2025-03-14
CTGBCKQKDQ42023,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,865,2025-03-14,2025-03-14
CTGBCKQKDQ12024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5865,2025-03-14,2025-03-14
CTGBCKQKDQ22024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,10864,2025-03-14,2025-03-14
CTGBCKQKDQ32024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,22216,2025-03-14,2025-03-14
CTGBCKQKDQ42024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,26636,2025-03-14,2025-03-14
CTGBCKQKDQ42023,3. Dự phòng giảm giá chứng khoán đầu tư,-250,2025-03-14,2025-03-14
CTGBCKQKDQ12024,3. Dự phòng giảm giá chứng khoán đầu tư,-359,2025-03-14,2025-03-14
CTGBCKQKDQ22024,3. Dự phòng giảm giá chứng khoán đầu tư,-394,2025-03-14,2025-03-14
CTGBCKQKDQ32024,3. Dự phòng giảm giá chứng khoán đầu tư,-596,2025-03-14,2025-03-14
CTGBCKQKDQ42024,3. Dự phòng giảm giá chứng khoán đầu tư,-585,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"VIII. Góp vốn, đầu tư dài hạn",3427,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"VIII. Góp vốn, đầu tư dài hạn",3530,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"VIII. Góp vốn, đầu tư dài hạn",3744,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"VIII. Góp vốn, đầu tư dài hạn",3762,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"VIII. Góp vốn, đầu tư dài hạn",3934,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"2. Đầu tư vào công ty liên doanh, liên kết",3206,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"2. Đầu tư vào công ty liên doanh, liên kết",3310,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"2. Đầu tư vào công ty liên doanh, liên kết",3524,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"2. Đầu tư vào công ty liên doanh, liên kết",3542,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"2. Đầu tư vào công ty liên doanh, liên kết",3707,2025-03-14,2025-03-14
CTGBCKQKDQ42023,3. Đầu tư dài hạn khác,234,2025-03-14,2025-03-14
CTGBCKQKDQ12024,3. Đầu tư dài hạn khác,234,2025-03-14,2025-03-14
CTGBCKQKDQ22024,3. Đầu tư dài hạn khác,234,2025-03-14,2025-03-14
CTGBCKQKDQ32024,3. Đầu tư dài hạn khác,234,2025-03-14,2025-03-14
CTGBCKQKDQ42024,3. Đầu tư dài hạn khác,234,2025-03-14,2025-03-14
CTGBCKQKDQ42023,4. Dự phòng giảm giá đầu tư dài hạn,-14,2025-03-14,2025-03-14
CTGBCKQKDQ12024,4. Dự phòng giảm giá đầu tư dài hạn,-14,2025-03-14,2025-03-14
CTGBCKQKDQ22024,4. Dự phòng giảm giá đầu tư dài hạn,-14,2025-03-14,2025-03-14
CTGBCKQKDQ32024,4. Dự phòng giảm giá đầu tư dài hạn,-14,2025-03-14,2025-03-14
CTGBCKQKDQ42024,4. Dự phòng giảm giá đầu tư dài hạn,-7,2025-03-14,2025-03-14
CTGBCKQKDQ42023,IX. Tài sản cố định,10126,2025-03-14,2025-03-14
CTGBCKQKDQ12024,IX. Tài sản cố định,9921,2025-03-14,2025-03-14
CTGBCKQKDQ22024,IX. Tài sản cố định,9764,2025-03-14,2025-03-14
CTGBCKQKDQ32024,IX. Tài sản cố định,9623,2025-03-14,2025-03-14
CTGBCKQKDQ42024,IX. Tài sản cố định,10002,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Tài sản cố định hữu hình,6133,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Tài sản cố định hữu hình,5962,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Tài sản cố định hữu hình,5870,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Tài sản cố định hữu hình,5781,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Tài sản cố định hữu hình,6149,2025-03-14,2025-03-14
CTGBCKQKDQ42023,a. Nguyên giá TSCĐ,16641,2025-03-14,2025-03-14
CTGBCKQKDQ12024,a. Nguyên giá TSCĐ,16640,2025-03-14,2025-03-14
CTGBCKQKDQ22024,a. Nguyên giá TSCĐ,16701,2025-03-14,2025-03-14
CTGBCKQKDQ32024,a. Nguyên giá TSCĐ,16773,2025-03-14,2025-03-14
CTGBCKQKDQ42024,a. Nguyên giá TSCĐ,17254,2025-03-14,2025-03-14
CTGBCKQKDQ42023,b. Hao mòn TSCĐ,-10508,2025-03-14,2025-03-14
CTGBCKQKDQ12024,b. Hao mòn TSCĐ,-10679,2025-03-14,2025-03-14
CTGBCKQKDQ22024,b. Hao mòn TSCĐ,-10831,2025-03-14,2025-03-14
CTGBCKQKDQ32024,b. Hao mòn TSCĐ,-10992,2025-03-14,2025-03-14
CTGBCKQKDQ42024,b. Hao mòn TSCĐ,-11104,2025-03-14,2025-03-14
CTGBCKQKDQ42023,3. Tài sản cố định vô hình,3992,2025-03-14,2025-03-14
CTGBCKQKDQ12024,3. Tài sản cố định vô hình,3959,2025-03-14,2025-03-14
CTGBCKQKDQ22024,3. Tài sản cố định vô hình,3893,2025-03-14,2025-03-14
CTGBCKQKDQ32024,3. Tài sản cố định vô hình,3842,2025-03-14,2025-03-14
CTGBCKQKDQ42024,3. Tài sản cố định vô hình,3853,2025-03-14,2025-03-14
CTGBCKQKDQ42023,a. Nguyên giá TSCĐ,6804,2025-03-14,2025-03-14
CTGBCKQKDQ12024,a. Nguyên giá TSCĐ,6836,2025-03-14,2025-03-14
CTGBCKQKDQ22024,a. Nguyên giá TSCĐ,6838,2025-03-14,2025-03-14
CTGBCKQKDQ32024,a. Nguyên giá TSCĐ,6844,2025-03-14,2025-03-14
CTGBCKQKDQ42024,a. Nguyên giá TSCĐ,6928,2025-03-14,2025-03-14
CTGBCKQKDQ42023,b. Hao mòn TSCĐ,-2812,2025-03-14,2025-03-14
CTGBCKQKDQ12024,b. Hao mòn TSCĐ,-2877,2025-03-14,2025-03-14
CTGBCKQKDQ22024,b. Hao mòn TSCĐ,-2944,2025-03-14,2025-03-14
CTGBCKQKDQ32024,b. Hao mòn TSCĐ,-3002,2025-03-14,2025-03-14
CTGBCKQKDQ42024,b. Hao mòn TSCĐ,-3075,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"XI. Tài sản ""Có"" khác",59570,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"XI. Tài sản ""Có"" khác",54728,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"XI. Tài sản ""Có"" khác",52647,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"XI. Tài sản ""Có"" khác",46839,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"XI. Tài sản ""Có"" khác",44689,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Các khoản phải thu,41485,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Các khoản phải thu,36837,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Các khoản phải thu,36348,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Các khoản phải thu,30800,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Các khoản phải thu,27775,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"2. Các khoản lãi, phí phải thu",14710,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"2. Các khoản lãi, phí phải thu",14510,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"2. Các khoản lãi, phí phải thu",12960,2025-03-14,2025-03-14
CTGBCKQKDQ32024,"2. Các khoản lãi, phí phải thu",12709,2025-03-14,2025-03-14
CTGBCKQKDQ42024,"2. Các khoản lãi, phí phải thu",13305,2025-03-14,2025-03-14
CTGBCKQKDQ42023,3. Tài sản thuế TNDN hoãn lại,0,2025-03-14,2025-03-14
CTGBCKQKDQ42023,4. Tài sản Có khác,3481,2025-03-14,2025-03-14
CTGBCKQKDQ12024,4. Tài sản Có khác,3489,2025-03-14,2025-03-14
CTGBCKQKDQ22024,4. Tài sản Có khác,3445,2025-03-14,2025-03-14
CTGBCKQKDQ32024,4. Tài sản Có khác,3437,2025-03-14,2025-03-14
CTGBCKQKDQ42024,4. Tài sản Có khác,3716,2025-03-14,2025-03-14
CTGBCKQKDQ42023,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-107,2025-03-14,2025-03-14
CTGBCKQKDQ12024,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-107,2025-03-14,2025-03-14
CTGBCKQKDQ22024,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-107,2025-03-14,2025-03-14
CTGBCKQKDQ32024,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-107,2025-03-14,2025-03-14
CTGBCKQKDQ42024,5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-106,2025-03-14,2025-03-14
CTGBCKQKDQ42023,TỔNG CỘNG TÀI SẢN,2032690,2025-03-14,2025-03-14
CTGBCKQKDQ12024,TỔNG CỘNG TÀI SẢN,2077615,2025-03-14,2025-03-14
CTGBCKQKDQ22024,TỔNG CỘNG TÀI SẢN,2161429,2025-03-14,2025-03-14
CTGBCKQKDQ32024,TỔNG CỘNG TÀI SẢN,2229791,2025-03-14,2025-03-14
CTGBCKQKDQ42024,TỔNG CỘNG TÀI SẢN,2385384,2025-03-14,2025-03-14
CTGBCKQKDQ42023,I. Các khoản nợ Chính phủ và NHNN,21814,2025-03-14,2025-03-14
CTGBCKQKDQ12024,I. Các khoản nợ Chính phủ và NHNN,46137,2025-03-14,2025-03-14
CTGBCKQKDQ22024,I. Các khoản nợ Chính phủ và NHNN,111855,2025-03-14,2025-03-14
CTGBCKQKDQ32024,I. Các khoản nợ Chính phủ và NHNN,95457,2025-03-14,2025-03-14
CTGBCKQKDQ42024,I. Các khoản nợ Chính phủ và NHNN,154284,2025-03-14,2025-03-14
CTGBCKQKDQ42023,II. Tiền gửi và vay các TCTD khác,304424,2025-03-14,2025-03-14
CTGBCKQKDQ12024,II. Tiền gửi và vay các TCTD khác,325516,2025-03-14,2025-03-14
CTGBCKQKDQ22024,II. Tiền gửi và vay các TCTD khác,297409,2025-03-14,2025-03-14
CTGBCKQKDQ32024,II. Tiền gửi và vay các TCTD khác,298637,2025-03-14,2025-03-14
CTGBCKQKDQ42024,II. Tiền gửi và vay các TCTD khác,276135,2025-03-14,2025-03-14
CTGBCKQKDQ42023,1. Tiền gửi của các TCTD khác,259893,2025-03-14,2025-03-14
CTGBCKQKDQ12024,1. Tiền gửi của các TCTD khác,284967,2025-03-14,2025-03-14
CTGBCKQKDQ22024,1. Tiền gửi của các TCTD khác,249374,2025-03-14,2025-03-14
CTGBCKQKDQ32024,1. Tiền gửi của các TCTD khác,274382,2025-03-14,2025-03-14
CTGBCKQKDQ42024,1. Tiền gửi của các TCTD khác,253520,2025-03-14,2025-03-14
CTGBCKQKDQ42023,2. Vay các TCTD khác,44531,2025-03-14,2025-03-14
CTGBCKQKDQ12024,2. Vay các TCTD khác,40549,2025-03-14,2025-03-14
CTGBCKQKDQ22024,2. Vay các TCTD khác,48035,2025-03-14,2025-03-14
CTGBCKQKDQ32024,2. Vay các TCTD khác,24255,2025-03-14,2025-03-14
CTGBCKQKDQ42024,2. Vay các TCTD khác,22615,2025-03-14,2025-03-14
CTGBCKQKDQ42023,III. Tiền gửi của khách hàng,1410899,2025-03-14,2025-03-14
CTGBCKQKDQ12024,III. Tiền gửi của khách hàng,1427665,2025-03-14,2025-03-14
CTGBCKQKDQ22024,III. Tiền gửi của khách hàng,1466830,2025-03-14,2025-03-14
CTGBCKQKDQ32024,III. Tiền gửi của khách hàng,1516890,2025-03-14,2025-03-14
CTGBCKQKDQ42024,III. Tiền gửi của khách hàng,1606145,2025-03-14,2025-03-14
CTGBCKQKDQ42023,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,556,2025-03-14,2025-03-14
CTGBCKQKDQ12024,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,1378,2025-03-14,2025-03-14
CTGBCKQKDQ22024,IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,398,2025-03-14,2025-03-14
CTGBCKQKDQ42023,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",2238,2025-03-14,2025-03-14
CTGBCKQKDQ12024,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",2201,2025-03-14,2025-03-14
CTGBCKQKDQ22024,"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",2233,2025-03-14,2025-03-14
