report_id,index,value,ingestion_date,updated_date
FPTBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,36710,2025-03-14,2025-03-14
FPTBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,37679,2025-03-14,2025-03-14
FPTBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,40823,2025-03-14,2025-03-14
FPTBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,42605,2025-03-14,2025-03-14
FPTBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,45475,2025-03-14,2025-03-14
FPTBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,8279,2025-03-14,2025-03-14
FPTBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,6341,2025-03-14,2025-03-14
FPTBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,6836,2025-03-14,2025-03-14
FPTBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,7936,2025-03-14,2025-03-14
FPTBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,9315,2025-03-14,2025-03-14
FPTBCKQKDQ42023,1. Tiền,5975,2025-03-14,2025-03-14
FPTBCKQKDQ12024,1. Tiền,5412,2025-03-14,2025-03-14
FPTBCKQKDQ22024,1. Tiền,5620,2025-03-14,2025-03-14
FPTBCKQKDQ32024,1. Tiền,5251,2025-03-14,2025-03-14
FPTBCKQKDQ42024,1. Tiền,6726,2025-03-14,2025-03-14
FPTBCKQKDQ42023,2. Các khoản tương đương tiền,2304,2025-03-14,2025-03-14
FPTBCKQKDQ12024,2. Các khoản tương đương tiền,930,2025-03-14,2025-03-14
FPTBCKQKDQ22024,2. Các khoản tương đương tiền,1216,2025-03-14,2025-03-14
FPTBCKQKDQ32024,2. Các khoản tương đương tiền,2684,2025-03-14,2025-03-14
FPTBCKQKDQ42024,2. Các khoản tương đương tiền,2590,2025-03-14,2025-03-14
FPTBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,16104,2025-03-14,2025-03-14
FPTBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,18230,2025-03-14,2025-03-14
FPTBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,19916,2025-03-14,2025-03-14
FPTBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,19443,2025-03-14,2025-03-14
FPTBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,21785,2025-03-14,2025-03-14
FPTBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,16104,2025-03-14,2025-03-14
FPTBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,18230,2025-03-14,2025-03-14
FPTBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,19916,2025-03-14,2025-03-14
FPTBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,19443,2025-03-14,2025-03-14
FPTBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,21785,2025-03-14,2025-03-14
FPTBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,9534,2025-03-14,2025-03-14
FPTBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,10055,2025-03-14,2025-03-14
FPTBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,10993,2025-03-14,2025-03-14
FPTBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,11875,2025-03-14,2025-03-14
FPTBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,11380,2025-03-14,2025-03-14
FPTBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,9045,2025-03-14,2025-03-14
FPTBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,9394,2025-03-14,2025-03-14
FPTBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,10309,2025-03-14,2025-03-14
