report_id,index,value,ingestion_date,updated_date
GASBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,62218,2025-03-14,2025-03-14
GASBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,66459,2025-03-14,2025-03-14
GASBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,70470,2025-03-14,2025-03-14
GASBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,67283,2025-03-14,2025-03-14
GASBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,57296,2025-03-14,2025-03-14
GASBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,5669,2025-03-14,2025-03-14
GASBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,6075,2025-03-14,2025-03-14
GASBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,7555,2025-03-14,2025-03-14
GASBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,12083,2025-03-14,2025-03-14
GASBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,5649,2025-03-14,2025-03-14
GASBCKQKDQ42023,1. Tiền,1156,2025-03-14,2025-03-14
GASBCKQKDQ12024,1. Tiền,2288,2025-03-14,2025-03-14
GASBCKQKDQ22024,1. Tiền,2475,2025-03-14,2025-03-14
GASBCKQKDQ32024,1. Tiền,1643,2025-03-14,2025-03-14
GASBCKQKDQ42024,1. Tiền,1248,2025-03-14,2025-03-14
GASBCKQKDQ42023,2. Các khoản tương đương tiền,4512,2025-03-14,2025-03-14
GASBCKQKDQ12024,2. Các khoản tương đương tiền,3787,2025-03-14,2025-03-14
GASBCKQKDQ22024,2. Các khoản tương đương tiền,5080,2025-03-14,2025-03-14
GASBCKQKDQ32024,2. Các khoản tương đương tiền,10440,2025-03-14,2025-03-14
GASBCKQKDQ42024,2. Các khoản tương đương tiền,4401,2025-03-14,2025-03-14
GASBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,35085,2025-03-14,2025-03-14
GASBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,36538,2025-03-14,2025-03-14
GASBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,36364,2025-03-14,2025-03-14
GASBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,32722,2025-03-14,2025-03-14
GASBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,27413,2025-03-14,2025-03-14
GASBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,35085,2025-03-14,2025-03-14
GASBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,36538,2025-03-14,2025-03-14
GASBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,36364,2025-03-14,2025-03-14
GASBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,32722,2025-03-14,2025-03-14
GASBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,27413,2025-03-14,2025-03-14
GASBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,16865,2025-03-14,2025-03-14
GASBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,20907,2025-03-14,2025-03-14
GASBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,23226,2025-03-14,2025-03-14
GASBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,19498,2025-03-14,2025-03-14
GASBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,19104,2025-03-14,2025-03-14
GASBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,12541,2025-03-14,2025-03-14
GASBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,14139,2025-03-14,2025-03-14
GASBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,18021,2025-03-14,2025-03-14
GASBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,17101,2025-03-14,2025-03-14
GASBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,16737,2025-03-14,2025-03-14
GASBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,264,2025-03-14,2025-03-14
GASBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,387,2025-03-14,2025-03-14
GASBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,353,2025-03-14,2025-03-14
GASBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,377,2025-03-14,2025-03-14
GASBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,376,2025-03-14,2025-03-14
GASBCKQKDQ42023,6. Phải thu ngắn hạn khác,4910,2025-03-14,2025-03-14
GASBCKQKDQ12024,6. Phải thu ngắn hạn khác,7235,2025-03-14,2025-03-14
GASBCKQKDQ22024,6. Phải thu ngắn hạn khác,6520,2025-03-14,2025-03-14
GASBCKQKDQ32024,6. Phải thu ngắn hạn khác,4122,2025-03-14,2025-03-14
GASBCKQKDQ42024,6. Phải thu ngắn hạn khác,4759,2025-03-14,2025-03-14
GASBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-850,2025-03-14,2025-03-14
GASBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-854,2025-03-14,2025-03-14
GASBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-1669,2025-03-14,2025-03-14
GASBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-2102,2025-03-14,2025-03-14
GASBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-2769,2025-03-14,2025-03-14
GASBCKQKDQ42023,IV. Hàng tồn kho,3945,2025-03-14,2025-03-14
GASBCKQKDQ12024,IV. Hàng tồn kho,2539,2025-03-14,2025-03-14
GASBCKQKDQ22024,IV. Hàng tồn kho,2784,2025-03-14,2025-03-14
GASBCKQKDQ32024,IV. Hàng tồn kho,2382,2025-03-14,2025-03-14
GASBCKQKDQ42024,IV. Hàng tồn kho,4599,2025-03-14,2025-03-14
GASBCKQKDQ42023,1. Hàng tồn kho,4070,2025-03-14,2025-03-14
GASBCKQKDQ12024,1. Hàng tồn kho,2665,2025-03-14,2025-03-14
GASBCKQKDQ22024,1. Hàng tồn kho,2894,2025-03-14,2025-03-14
GASBCKQKDQ32024,1. Hàng tồn kho,2492,2025-03-14,2025-03-14
GASBCKQKDQ42024,1. Hàng tồn kho,4732,2025-03-14,2025-03-14
GASBCKQKDQ42023,2. Dự phòng giảm giá hàng tồn kho (*),-125,2025-03-14,2025-03-14
GASBCKQKDQ12024,2. Dự phòng giảm giá hàng tồn kho (*),-125,2025-03-14,2025-03-14
GASBCKQKDQ22024,2. Dự phòng giảm giá hàng tồn kho (*),-110,2025-03-14,2025-03-14
GASBCKQKDQ32024,2. Dự phòng giảm giá hàng tồn kho (*),-110,2025-03-14,2025-03-14
GASBCKQKDQ42024,2. Dự phòng giảm giá hàng tồn kho (*),-133,2025-03-14,2025-03-14
GASBCKQKDQ42023,V. Tài sản ngắn hạn khác,654,2025-03-14,2025-03-14
GASBCKQKDQ12024,V. Tài sản ngắn hạn khác,400,2025-03-14,2025-03-14
GASBCKQKDQ22024,V. Tài sản ngắn hạn khác,541,2025-03-14,2025-03-14
GASBCKQKDQ32024,V. Tài sản ngắn hạn khác,598,2025-03-14,2025-03-14
GASBCKQKDQ42024,V. Tài sản ngắn hạn khác,531,2025-03-14,2025-03-14
GASBCKQKDQ42023,1. Chi phí trả trước ngắn hạn,61,2025-03-14,2025-03-14
GASBCKQKDQ12024,1. Chi phí trả trước ngắn hạn,69,2025-03-14,2025-03-14
GASBCKQKDQ22024,1. Chi phí trả trước ngắn hạn,70,2025-03-14,2025-03-14
GASBCKQKDQ32024,1. Chi phí trả trước ngắn hạn,48,2025-03-14,2025-03-14
GASBCKQKDQ42024,1. Chi phí trả trước ngắn hạn,46,2025-03-14,2025-03-14
GASBCKQKDQ42023,2. Thuế GTGT được khấu trừ,548,2025-03-14,2025-03-14
GASBCKQKDQ12024,2. Thuế GTGT được khấu trừ,298,2025-03-14,2025-03-14
