report_id,index,value,ingestion_date,updated_date
GVRBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,24186,2025-03-14,2025-03-14
GVRBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,22975,2025-03-14,2025-03-14
GVRBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,23460,2025-03-14,2025-03-14
GVRBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,25449,2025-03-14,2025-03-14
GVRBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,27739,2025-03-14,2025-03-14
GVRBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,5678,2025-03-14,2025-03-14
GVRBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,4612,2025-03-14,2025-03-14
GVRBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,4146,2025-03-14,2025-03-14
GVRBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,5861,2025-03-14,2025-03-14
GVRBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,6187,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Tiền,2277,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Tiền,1871,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Tiền,1891,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Tiền,2679,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Tiền,3033,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Các khoản tương đương tiền,3401,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Các khoản tương đương tiền,2740,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Các khoản tương đương tiền,2255,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Các khoản tương đương tiền,3183,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Các khoản tương đương tiền,3154,2025-03-14,2025-03-14
GVRBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,11227,2025-03-14,2025-03-14
GVRBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,11744,2025-03-14,2025-03-14
GVRBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,12730,2025-03-14,2025-03-14
GVRBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,13025,2025-03-14,2025-03-14
GVRBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,13561,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,2025-03-14,2025-03-14
GVRBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,11226,2025-03-14,2025-03-14
GVRBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,11743,2025-03-14,2025-03-14
GVRBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,12729,2025-03-14,2025-03-14
GVRBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,13024,2025-03-14,2025-03-14
GVRBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,13560,2025-03-14,2025-03-14
GVRBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,2867,2025-03-14,2025-03-14
GVRBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,2455,2025-03-14,2025-03-14
GVRBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,2216,2025-03-14,2025-03-14
GVRBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,2401,2025-03-14,2025-03-14
GVRBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,2523,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,1339,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,1110,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,1067,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,1154,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,1587,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,468,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,576,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,546,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,481,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,375,2025-03-14,2025-03-14
GVRBCKQKDQ42023,5. Phải thu về cho vay ngắn hạn,8,2025-03-14,2025-03-14
GVRBCKQKDQ12024,5. Phải thu về cho vay ngắn hạn,8,2025-03-14,2025-03-14
GVRBCKQKDQ22024,5. Phải thu về cho vay ngắn hạn,8,2025-03-14,2025-03-14
GVRBCKQKDQ32024,5. Phải thu về cho vay ngắn hạn,8,2025-03-14,2025-03-14
GVRBCKQKDQ42024,5. Phải thu về cho vay ngắn hạn,8,2025-03-14,2025-03-14
GVRBCKQKDQ42023,6. Phải thu ngắn hạn khác,1328,2025-03-14,2025-03-14
GVRBCKQKDQ12024,6. Phải thu ngắn hạn khác,997,2025-03-14,2025-03-14
GVRBCKQKDQ22024,6. Phải thu ngắn hạn khác,840,2025-03-14,2025-03-14
GVRBCKQKDQ32024,6. Phải thu ngắn hạn khác,1006,2025-03-14,2025-03-14
GVRBCKQKDQ42024,6. Phải thu ngắn hạn khác,947,2025-03-14,2025-03-14
GVRBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-314,2025-03-14,2025-03-14
GVRBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-303,2025-03-14,2025-03-14
GVRBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-313,2025-03-14,2025-03-14
GVRBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-314,2025-03-14,2025-03-14
GVRBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-461,2025-03-14,2025-03-14
GVRBCKQKDQ42023,8. Tài sản thiếu chờ xử lý,39,2025-03-14,2025-03-14
GVRBCKQKDQ12024,8. Tài sản thiếu chờ xử lý,67,2025-03-14,2025-03-14
GVRBCKQKDQ22024,8. Tài sản thiếu chờ xử lý,68,2025-03-14,2025-03-14
GVRBCKQKDQ32024,8. Tài sản thiếu chờ xử lý,67,2025-03-14,2025-03-14
GVRBCKQKDQ42024,8. Tài sản thiếu chờ xử lý,67,2025-03-14,2025-03-14
GVRBCKQKDQ42023,IV. Hàng tồn kho,3377,2025-03-14,2025-03-14
GVRBCKQKDQ12024,IV. Hàng tồn kho,3085,2025-03-14,2025-03-14
GVRBCKQKDQ22024,IV. Hàng tồn kho,3133,2025-03-14,2025-03-14
GVRBCKQKDQ32024,IV. Hàng tồn kho,3116,2025-03-14,2025-03-14
GVRBCKQKDQ42024,IV. Hàng tồn kho,4365,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Hàng tồn kho,3405,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Hàng tồn kho,3110,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Hàng tồn kho,3157,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Hàng tồn kho,3143,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Hàng tồn kho,4391,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Dự phòng giảm giá hàng tồn kho (*),-27,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Dự phòng giảm giá hàng tồn kho (*),-25,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Dự phòng giảm giá hàng tồn kho (*),-24,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Dự phòng giảm giá hàng tồn kho (*),-27,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Dự phòng giảm giá hàng tồn kho (*),-26,2025-03-14,2025-03-14
GVRBCKQKDQ42023,V. Tài sản ngắn hạn khác,1036,2025-03-14,2025-03-14
GVRBCKQKDQ12024,V. Tài sản ngắn hạn khác,1080,2025-03-14,2025-03-14
GVRBCKQKDQ22024,V. Tài sản ngắn hạn khác,1236,2025-03-14,2025-03-14
GVRBCKQKDQ32024,V. Tài sản ngắn hạn khác,1045,2025-03-14,2025-03-14
GVRBCKQKDQ42024,V. Tài sản ngắn hạn khác,1103,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Chi phí trả trước ngắn hạn,90,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Chi phí trả trước ngắn hạn,141,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Chi phí trả trước ngắn hạn,216,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Chi phí trả trước ngắn hạn,117,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Chi phí trả trước ngắn hạn,128,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Thuế GTGT được khấu trừ,529,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Thuế GTGT được khấu trừ,541,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Thuế GTGT được khấu trừ,556,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Thuế GTGT được khấu trừ,546,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Thuế GTGT được khấu trừ,579,2025-03-14,2025-03-14
GVRBCKQKDQ42023,3. Thuế và các khoản khác phải thu của nhà nước,418,2025-03-14,2025-03-14
GVRBCKQKDQ12024,3. Thuế và các khoản khác phải thu của nhà nước,398,2025-03-14,2025-03-14
GVRBCKQKDQ22024,3. Thuế và các khoản khác phải thu của nhà nước,464,2025-03-14,2025-03-14
GVRBCKQKDQ32024,3. Thuế và các khoản khác phải thu của nhà nước,382,2025-03-14,2025-03-14
GVRBCKQKDQ42024,3. Thuế và các khoản khác phải thu của nhà nước,396,2025-03-14,2025-03-14
GVRBCKQKDQ42023,5. Tài sản ngắn hạn khác,0,2025-03-14,2025-03-14
GVRBCKQKDQ42023,B. TÀI SẢN DÀI HẠN,54200,2025-03-14,2025-03-14
GVRBCKQKDQ12024,B. TÀI SẢN DÀI HẠN,53938,2025-03-14,2025-03-14
GVRBCKQKDQ22024,B. TÀI SẢN DÀI HẠN,52656,2025-03-14,2025-03-14
GVRBCKQKDQ32024,B. TÀI SẢN DÀI HẠN,52732,2025-03-14,2025-03-14
GVRBCKQKDQ42024,B. TÀI SẢN DÀI HẠN,55806,2025-03-14,2025-03-14
GVRBCKQKDQ42023,I. Các khoản phải thu dài hạn,653,2025-03-14,2025-03-14
GVRBCKQKDQ12024,I. Các khoản phải thu dài hạn,671,2025-03-14,2025-03-14
GVRBCKQKDQ22024,I. Các khoản phải thu dài hạn,605,2025-03-14,2025-03-14
GVRBCKQKDQ32024,I. Các khoản phải thu dài hạn,646,2025-03-14,2025-03-14
GVRBCKQKDQ42024,I. Các khoản phải thu dài hạn,690,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Trả trước cho người bán dài hạn,1,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Trả trước cho người bán dài hạn,2,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Trả trước cho người bán dài hạn,1,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Trả trước cho người bán dài hạn,2,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Trả trước cho người bán dài hạn,1,2025-03-14,2025-03-14
GVRBCKQKDQ42023,5. Phải thu về cho vay dài hạn,797,2025-03-14,2025-03-14
GVRBCKQKDQ12024,5. Phải thu về cho vay dài hạn,798,2025-03-14,2025-03-14
GVRBCKQKDQ22024,5. Phải thu về cho vay dài hạn,790,2025-03-14,2025-03-14
GVRBCKQKDQ32024,5. Phải thu về cho vay dài hạn,788,2025-03-14,2025-03-14
GVRBCKQKDQ42024,5. Phải thu về cho vay dài hạn,788,2025-03-14,2025-03-14
GVRBCKQKDQ42023,6. Phải thu dài hạn khác,221,2025-03-14,2025-03-14
GVRBCKQKDQ12024,6. Phải thu dài hạn khác,238,2025-03-14,2025-03-14
GVRBCKQKDQ22024,6. Phải thu dài hạn khác,173,2025-03-14,2025-03-14
GVRBCKQKDQ32024,6. Phải thu dài hạn khác,214,2025-03-14,2025-03-14
GVRBCKQKDQ42024,6. Phải thu dài hạn khác,225,2025-03-14,2025-03-14
GVRBCKQKDQ42023,7. Dự phòng phải thu dài hạn khó đòi (*),-366,2025-03-14,2025-03-14
GVRBCKQKDQ12024,7. Dự phòng phải thu dài hạn khó đòi (*),-366,2025-03-14,2025-03-14
GVRBCKQKDQ22024,7. Dự phòng phải thu dài hạn khó đòi (*),-359,2025-03-14,2025-03-14
GVRBCKQKDQ32024,7. Dự phòng phải thu dài hạn khó đòi (*),-358,2025-03-14,2025-03-14
GVRBCKQKDQ42024,7. Dự phòng phải thu dài hạn khó đòi (*),-323,2025-03-14,2025-03-14
GVRBCKQKDQ42023,II. Tài sản cố định,34459,2025-03-14,2025-03-14
GVRBCKQKDQ12024,II. Tài sản cố định,34903,2025-03-14,2025-03-14
GVRBCKQKDQ22024,II. Tài sản cố định,34447,2025-03-14,2025-03-14
GVRBCKQKDQ32024,II. Tài sản cố định,34413,2025-03-14,2025-03-14
GVRBCKQKDQ42024,II. Tài sản cố định,35355,2025-03-14,2025-03-14
GVRBCKQKDQ42023,1. Tài sản cố định hữu hình,34347,2025-03-14,2025-03-14
GVRBCKQKDQ12024,1. Tài sản cố định hữu hình,34793,2025-03-14,2025-03-14
GVRBCKQKDQ22024,1. Tài sản cố định hữu hình,34337,2025-03-14,2025-03-14
GVRBCKQKDQ32024,1. Tài sản cố định hữu hình,34302,2025-03-14,2025-03-14
GVRBCKQKDQ42024,1. Tài sản cố định hữu hình,35235,2025-03-14,2025-03-14
GVRBCKQKDQ42023,- Nguyên giá,54922,2025-03-14,2025-03-14
GVRBCKQKDQ12024,- Nguyên giá,55962,2025-03-14,2025-03-14
GVRBCKQKDQ22024,- Nguyên giá,55704,2025-03-14,2025-03-14
GVRBCKQKDQ32024,- Nguyên giá,56560,2025-03-14,2025-03-14
GVRBCKQKDQ42024,- Nguyên giá,58331,2025-03-14,2025-03-14
GVRBCKQKDQ42023,- Giá trị hao mòn lũy kế (*),-20575,2025-03-14,2025-03-14
GVRBCKQKDQ12024,- Giá trị hao mòn lũy kế (*),-21170,2025-03-14,2025-03-14
GVRBCKQKDQ22024,- Giá trị hao mòn lũy kế (*),-21367,2025-03-14,2025-03-14
GVRBCKQKDQ32024,- Giá trị hao mòn lũy kế (*),-22258,2025-03-14,2025-03-14
GVRBCKQKDQ42024,- Giá trị hao mòn lũy kế (*),-23097,2025-03-14,2025-03-14
GVRBCKQKDQ42023,2. Tài sản cố định thuê tài chính,1,2025-03-14,2025-03-14
GVRBCKQKDQ12024,2. Tài sản cố định thuê tài chính,1,2025-03-14,2025-03-14
GVRBCKQKDQ22024,2. Tài sản cố định thuê tài chính,2,2025-03-14,2025-03-14
GVRBCKQKDQ32024,2. Tài sản cố định thuê tài chính,1,2025-03-14,2025-03-14
GVRBCKQKDQ42024,2. Tài sản cố định thuê tài chính,1,2025-03-14,2025-03-14
GVRBCKQKDQ42023,- Nguyên giá,2,2025-03-14,2025-03-14
GVRBCKQKDQ12024,- Nguyên giá,2,2025-03-14,2025-03-14
GVRBCKQKDQ22024,- Nguyên giá,3,2025-03-14,2025-03-14
