report_id,index,value,ingestion_date,updated_date
HDBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",2810,2025-03-14,2025-03-14
HDBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",2891,2025-03-14,2025-03-14
HDBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",3103,2025-03-14,2025-03-14
HDBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",3128,2025-03-14,2025-03-14
HDBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",3105,2025-03-14,2025-03-14
HDBBCKQKDQ42023,II. Tiền gửi tại NHNN,41482,2025-03-14,2025-03-14
HDBBCKQKDQ12024,II. Tiền gửi tại NHNN,22525,2025-03-14,2025-03-14
HDBBCKQKDQ22024,II. Tiền gửi tại NHNN,22237,2025-03-14,2025-03-14
HDBBCKQKDQ32024,II. Tiền gửi tại NHNN,29411,2025-03-14,2025-03-14
HDBBCKQKDQ42024,II. Tiền gửi tại NHNN,26680,2025-03-14,2025-03-14
HDBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",96515,2025-03-14,2025-03-14
HDBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",87660,2025-03-14,2025-03-14
HDBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",83923,2025-03-14,2025-03-14
HDBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",98656,2025-03-14,2025-03-14
HDBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",101600,2025-03-14,2025-03-14
HDBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",88120,2025-03-14,2025-03-14
HDBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",79330,2025-03-14,2025-03-14
HDBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",76457,2025-03-14,2025-03-14
HDBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",93379,2025-03-14,2025-03-14
HDBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",94226,2025-03-14,2025-03-14
HDBBCKQKDQ42023,2. Cho vay các TCTD khác,8395,2025-03-14,2025-03-14
HDBBCKQKDQ12024,2. Cho vay các TCTD khác,8330,2025-03-14,2025-03-14
HDBBCKQKDQ22024,2. Cho vay các TCTD khác,7466,2025-03-14,2025-03-14
HDBBCKQKDQ32024,2. Cho vay các TCTD khác,5277,2025-03-14,2025-03-14
HDBBCKQKDQ42024,2. Cho vay các TCTD khác,7374,2025-03-14,2025-03-14
HDBBCKQKDQ42023,IV. Chứng khoán kinh doanh,18581,2025-03-14,2025-03-14
HDBBCKQKDQ12024,IV. Chứng khoán kinh doanh,12929,2025-03-14,2025-03-14
HDBBCKQKDQ22024,IV. Chứng khoán kinh doanh,8607,2025-03-14,2025-03-14
HDBBCKQKDQ32024,IV. Chứng khoán kinh doanh,15275,2025-03-14,2025-03-14
HDBBCKQKDQ42024,IV. Chứng khoán kinh doanh,21956,2025-03-14,2025-03-14
HDBBCKQKDQ42023,1. Chứng khoán kinh doanh,18581,2025-03-14,2025-03-14
HDBBCKQKDQ12024,1. Chứng khoán kinh doanh,12929,2025-03-14,2025-03-14
HDBBCKQKDQ22024,1. Chứng khoán kinh doanh,8607,2025-03-14,2025-03-14
HDBBCKQKDQ32024,1. Chứng khoán kinh doanh,15275,2025-03-14,2025-03-14
HDBBCKQKDQ42024,1. Chứng khoán kinh doanh,21956,2025-03-14,2025-03-14
HDBBCKQKDQ42023,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,110,2025-03-14,2025-03-14
HDBBCKQKDQ12024,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,125,2025-03-14,2025-03-14
HDBBCKQKDQ22024,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,381,2025-03-14,2025-03-14
HDBBCKQKDQ42023,VI. Cho vay khách hàng,339350,2025-03-14,2025-03-14
HDBBCKQKDQ12024,VI. Cho vay khách hàng,358835,2025-03-14,2025-03-14
HDBBCKQKDQ22024,VI. Cho vay khách hàng,381420,2025-03-14,2025-03-14
HDBBCKQKDQ32024,VI. Cho vay khách hàng,393740,2025-03-14,2025-03-14
HDBBCKQKDQ42024,VI. Cho vay khách hàng,436606,2025-03-14,2025-03-14
HDBBCKQKDQ42023,1. Cho vay và cho thuê tài chính khách hàng,343404,2025-03-14,2025-03-14
HDBBCKQKDQ12024,1. Cho vay và cho thuê tài chính khách hàng,363449,2025-03-14,2025-03-14
HDBBCKQKDQ22024,1. Cho vay và cho thuê tài chính khách hàng,386187,2025-03-14,2025-03-14
HDBBCKQKDQ32024,1. Cho vay và cho thuê tài chính khách hàng,398724,2025-03-14,2025-03-14
HDBBCKQKDQ42024,1. Cho vay và cho thuê tài chính khách hàng,442485,2025-03-14,2025-03-14
HDBBCKQKDQ42023,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-4054,2025-03-14,2025-03-14
HDBBCKQKDQ12024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-4614,2025-03-14,2025-03-14
HDBBCKQKDQ22024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-4767,2025-03-14,2025-03-14
HDBBCKQKDQ32024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-4985,2025-03-14,2025-03-14
HDBBCKQKDQ42024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-5879,2025-03-14,2025-03-14
HDBBCKQKDQ42023,VII. Chứng khoán đầu tư,44092,2025-03-14,2025-03-14
