report_id,index,value,ingestion_date,updated_date
HPGBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,82716,2025-03-14,2025-03-14
HPGBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,94032,2025-03-14,2025-03-14
HPGBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,84467,2025-03-14,2025-03-14
HPGBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,80842,2025-03-14,2025-03-14
HPGBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,87079,2025-03-14,2025-03-14
HPGBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,12267,2025-03-14,2025-03-14
HPGBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,12429,2025-03-14,2025-03-14
HPGBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,13032,2025-03-14,2025-03-14
HPGBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,8501,2025-03-14,2025-03-14
HPGBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,6888,2025-03-14,2025-03-14
HPGBCKQKDQ42023,1. Tiền,3772,2025-03-14,2025-03-14
HPGBCKQKDQ12024,1. Tiền,6476,2025-03-14,2025-03-14
HPGBCKQKDQ22024,1. Tiền,5550,2025-03-14,2025-03-14
HPGBCKQKDQ32024,1. Tiền,2782,2025-03-14,2025-03-14
HPGBCKQKDQ42024,1. Tiền,2920,2025-03-14,2025-03-14
HPGBCKQKDQ42023,2. Các khoản tương đương tiền,8496,2025-03-14,2025-03-14
HPGBCKQKDQ12024,2. Các khoản tương đương tiền,5953,2025-03-14,2025-03-14
HPGBCKQKDQ22024,2. Các khoản tương đương tiền,7482,2025-03-14,2025-03-14
HPGBCKQKDQ32024,2. Các khoản tương đương tiền,5719,2025-03-14,2025-03-14
HPGBCKQKDQ42024,2. Các khoản tương đương tiền,3968,2025-03-14,2025-03-14
HPGBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,22162,2025-03-14,2025-03-14
HPGBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,22271,2025-03-14,2025-03-14
HPGBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,15315,2025-03-14,2025-03-14
HPGBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,16387,2025-03-14,2025-03-14
HPGBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,18975,2025-03-14,2025-03-14
HPGBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,22162,2025-03-14,2025-03-14
