report_id,index,value,ingestion_date,updated_date
LPBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",2383,2025-03-14,2025-03-14
LPBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",2234,2025-03-14,2025-03-14
LPBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",2199,2025-03-14,2025-03-14
LPBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",1770,2025-03-14,2025-03-14
LPBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",1162,2025-03-14,2025-03-14
LPBBCKQKDQ42023,II. Tiền gửi tại NHNN,14578,2025-03-14,2025-03-14
LPBBCKQKDQ12024,II. Tiền gửi tại NHNN,11257,2025-03-14,2025-03-14
LPBBCKQKDQ22024,II. Tiền gửi tại NHNN,8648,2025-03-14,2025-03-14
LPBBCKQKDQ32024,II. Tiền gửi tại NHNN,7490,2025-03-14,2025-03-14
LPBBCKQKDQ42024,II. Tiền gửi tại NHNN,14370,2025-03-14,2025-03-14
LPBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",35528,2025-03-14,2025-03-14
LPBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",42276,2025-03-14,2025-03-14
LPBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",56076,2025-03-14,2025-03-14
LPBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",63645,2025-03-14,2025-03-14
LPBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",96455,2025-03-14,2025-03-14
LPBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",35059,2025-03-14,2025-03-14
LPBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",42176,2025-03-14,2025-03-14
LPBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",55676,2025-03-14,2025-03-14
LPBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",63545,2025-03-14,2025-03-14
LPBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",89027,2025-03-14,2025-03-14
LPBBCKQKDQ42023,2. Cho vay các TCTD khác,526,2025-03-14,2025-03-14
LPBBCKQKDQ12024,2. Cho vay các TCTD khác,157,2025-03-14,2025-03-14
LPBBCKQKDQ22024,2. Cho vay các TCTD khác,457,2025-03-14,2025-03-14
LPBBCKQKDQ32024,2. Cho vay các TCTD khác,157,2025-03-14,2025-03-14
LPBBCKQKDQ42024,2. Cho vay các TCTD khác,7485,2025-03-14,2025-03-14
LPBBCKQKDQ42023,3. Dự phòng rủi ro cho vay các TCTD khác,-58,2025-03-14,2025-03-14
LPBBCKQKDQ12024,3. Dự phòng rủi ro cho vay các TCTD khác,-57,2025-03-14,2025-03-14
LPBBCKQKDQ22024,3. Dự phòng rủi ro cho vay các TCTD khác,-57,2025-03-14,2025-03-14
LPBBCKQKDQ32024,3. Dự phòng rủi ro cho vay các TCTD khác,-57,2025-03-14,2025-03-14
LPBBCKQKDQ42024,3. Dự phòng rủi ro cho vay các TCTD khác,-57,2025-03-14,2025-03-14
LPBBCKQKDQ42023,IV. Chứng khoán kinh doanh,580,2025-03-14,2025-03-14
LPBBCKQKDQ12024,IV. Chứng khoán kinh doanh,593,2025-03-14,2025-03-14
LPBBCKQKDQ22024,IV. Chứng khoán kinh doanh,276,2025-03-14,2025-03-14
