report_id,index,value,ingestion_date,updated_date
MBBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",3675,2025-03-14,2025-03-14
MBBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",3741,2025-03-14,2025-03-14
MBBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",4329,2025-03-14,2025-03-14
MBBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",3782,2025-03-14,2025-03-14
MBBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",3349,2025-03-14,2025-03-14
MBBBCKQKDQ42023,II. Tiền gửi tại NHNN,66322,2025-03-14,2025-03-14
MBBBCKQKDQ12024,II. Tiền gửi tại NHNN,11916,2025-03-14,2025-03-14
MBBBCKQKDQ22024,II. Tiền gửi tại NHNN,18087,2025-03-14,2025-03-14
MBBBCKQKDQ32024,II. Tiền gửi tại NHNN,10684,2025-03-14,2025-03-14
MBBBCKQKDQ42024,II. Tiền gửi tại NHNN,29825,2025-03-14,2025-03-14
MBBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",46344,2025-03-14,2025-03-14
MBBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",77809,2025-03-14,2025-03-14
MBBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",90064,2025-03-14,2025-03-14
MBBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",77398,2025-03-14,2025-03-14
MBBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",76786,2025-03-14,2025-03-14
MBBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",46344,2025-03-14,2025-03-14
MBBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",77809,2025-03-14,2025-03-14
MBBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",90064,2025-03-14,2025-03-14
MBBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",77398,2025-03-14,2025-03-14
MBBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",76786,2025-03-14,2025-03-14
MBBBCKQKDQ42023,2. Cho vay các TCTD khác,0,2025-03-14,2025-03-14
MBBBCKQKDQ12024,2. Cho vay các TCTD khác,0,2025-03-14,2025-03-14
MBBBCKQKDQ42023,3. Dự phòng rủi ro cho vay các TCTD khác,0,2025-03-14,2025-03-14
MBBBCKQKDQ12024,3. Dự phòng rủi ro cho vay các TCTD khác,0,2025-03-14,2025-03-14
MBBBCKQKDQ42023,IV. Chứng khoán kinh doanh,44251,2025-03-14,2025-03-14
MBBBCKQKDQ12024,IV. Chứng khoán kinh doanh,30565,2025-03-14,2025-03-14
MBBBCKQKDQ22024,IV. Chứng khoán kinh doanh,12308,2025-03-14,2025-03-14
MBBBCKQKDQ32024,IV. Chứng khoán kinh doanh,14324,2025-03-14,2025-03-14
MBBBCKQKDQ42024,IV. Chứng khoán kinh doanh,7932,2025-03-14,2025-03-14
MBBBCKQKDQ42023,1. Chứng khoán kinh doanh,44251,2025-03-14,2025-03-14
MBBBCKQKDQ12024,1. Chứng khoán kinh doanh,30566,2025-03-14,2025-03-14
MBBBCKQKDQ22024,1. Chứng khoán kinh doanh,12308,2025-03-14,2025-03-14
MBBBCKQKDQ32024,1. Chứng khoán kinh doanh,14324,2025-03-14,2025-03-14
MBBBCKQKDQ42024,1. Chứng khoán kinh doanh,7932,2025-03-14,2025-03-14
MBBBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh,-1,2025-03-14,2025-03-14
MBBBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh,-1,2025-03-14,2025-03-14
MBBBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh,0,2025-03-14,2025-03-14
MBBBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh,0,2025-03-14,2025-03-14
MBBBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh,0,2025-03-14,2025-03-14
