report_id,index,value,ingestion_date,updated_date
MSNBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,43763,2025-03-14,2025-03-14
MSNBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,42629,2025-03-14,2025-03-14
MSNBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,48982,2025-03-14,2025-03-14
MSNBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,43530,2025-03-14,2025-03-14
MSNBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,53570,2025-03-14,2025-03-14
MSNBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,10125,2025-03-14,2025-03-14
MSNBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,8493,2025-03-14,2025-03-14
MSNBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,18158,2025-03-14,2025-03-14
MSNBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,13225,2025-03-14,2025-03-14
MSNBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,18618,2025-03-14,2025-03-14
MSNBCKQKDQ42023,1. Tiền,3291,2025-03-14,2025-03-14
MSNBCKQKDQ12024,1. Tiền,2003,2025-03-14,2025-03-14
MSNBCKQKDQ22024,1. Tiền,6380,2025-03-14,2025-03-14
MSNBCKQKDQ32024,1. Tiền,2221,2025-03-14,2025-03-14
MSNBCKQKDQ42024,1. Tiền,6065,2025-03-14,2025-03-14
MSNBCKQKDQ42023,2. Các khoản tương đương tiền,6834,2025-03-14,2025-03-14
MSNBCKQKDQ12024,2. Các khoản tương đương tiền,6489,2025-03-14,2025-03-14
MSNBCKQKDQ22024,2. Các khoản tương đương tiền,11779,2025-03-14,2025-03-14
MSNBCKQKDQ32024,2. Các khoản tương đương tiền,11004,2025-03-14,2025-03-14
MSNBCKQKDQ42024,2. Các khoản tương đương tiền,12553,2025-03-14,2025-03-14
MSNBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,6795,2025-03-14,2025-03-14
MSNBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,5329,2025-03-14,2025-03-14
MSNBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,3819,2025-03-14,2025-03-14
MSNBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,3108,2025-03-14,2025-03-14
MSNBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,608,2025-03-14,2025-03-14
MSNBCKQKDQ42023,1. Chứng khoán kinh doanh,4183,2025-03-14,2025-03-14
MSNBCKQKDQ12024,1. Chứng khoán kinh doanh,3219,2025-03-14,2025-03-14
MSNBCKQKDQ22024,1. Chứng khoán kinh doanh,1511,2025-03-14,2025-03-14
MSNBCKQKDQ32024,1. Chứng khoán kinh doanh,1720,2025-03-14,2025-03-14
MSNBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,2612,2025-03-14,2025-03-14
MSNBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,2110,2025-03-14,2025-03-14
MSNBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,2309,2025-03-14,2025-03-14
MSNBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,1387,2025-03-14,2025-03-14
MSNBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,608,2025-03-14,2025-03-14
MSNBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,11985,2025-03-14,2025-03-14
MSNBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,14305,2025-03-14,2025-03-14
MSNBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,12578,2025-03-14,2025-03-14
MSNBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,12367,2025-03-14,2025-03-14
MSNBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,21865,2025-03-14,2025-03-14
MSNBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,2310,2025-03-14,2025-03-14
MSNBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,2497,2025-03-14,2025-03-14
MSNBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,2130,2025-03-14,2025-03-14
MSNBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,2188,2025-03-14,2025-03-14
MSNBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,1303,2025-03-14,2025-03-14
MSNBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,725,2025-03-14,2025-03-14
MSNBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,708,2025-03-14,2025-03-14
MSNBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,671,2025-03-14,2025-03-14
MSNBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,720,2025-03-14,2025-03-14
MSNBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,484,2025-03-14,2025-03-14
MSNBCKQKDQ42023,5. Phải thu về cho vay ngắn hạn,81,2025-03-14,2025-03-14
MSNBCKQKDQ12024,5. Phải thu về cho vay ngắn hạn,1591,2025-03-14,2025-03-14
MSNBCKQKDQ22024,5. Phải thu về cho vay ngắn hạn,358,2025-03-14,2025-03-14
MSNBCKQKDQ32024,5. Phải thu về cho vay ngắn hạn,81,2025-03-14,2025-03-14
MSNBCKQKDQ42024,5. Phải thu về cho vay ngắn hạn,81,2025-03-14,2025-03-14
MSNBCKQKDQ42023,6. Phải thu ngắn hạn khác,8899,2025-03-14,2025-03-14
MSNBCKQKDQ12024,6. Phải thu ngắn hạn khác,9539,2025-03-14,2025-03-14
MSNBCKQKDQ22024,6. Phải thu ngắn hạn khác,9487,2025-03-14,2025-03-14
MSNBCKQKDQ32024,6. Phải thu ngắn hạn khác,9430,2025-03-14,2025-03-14
MSNBCKQKDQ42024,6. Phải thu ngắn hạn khác,20068,2025-03-14,2025-03-14
MSNBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-35,2025-03-14,2025-03-14
MSNBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-34,2025-03-14,2025-03-14
MSNBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-72,2025-03-14,2025-03-14
MSNBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-75,2025-03-14,2025-03-14
MSNBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-85,2025-03-14,2025-03-14
MSNBCKQKDQ42023,8. Tài sản thiếu chờ xử lý,5,2025-03-14,2025-03-14
MSNBCKQKDQ12024,8. Tài sản thiếu chờ xử lý,4,2025-03-14,2025-03-14
MSNBCKQKDQ22024,8. Tài sản thiếu chờ xử lý,4,2025-03-14,2025-03-14
MSNBCKQKDQ32024,8. Tài sản thiếu chờ xử lý,21,2025-03-14,2025-03-14
MSNBCKQKDQ42024,8. Tài sản thiếu chờ xử lý,14,2025-03-14,2025-03-14
MSNBCKQKDQ42023,IV. Hàng tồn kho,13175,2025-03-14,2025-03-14
MSNBCKQKDQ12024,IV. Hàng tồn kho,12766,2025-03-14,2025-03-14
MSNBCKQKDQ22024,IV. Hàng tồn kho,12602,2025-03-14,2025-03-14
MSNBCKQKDQ32024,IV. Hàng tồn kho,12859,2025-03-14,2025-03-14
MSNBCKQKDQ42024,IV. Hàng tồn kho,10787,2025-03-14,2025-03-14
MSNBCKQKDQ42023,1. Hàng tồn kho,13497,2025-03-14,2025-03-14
MSNBCKQKDQ12024,1. Hàng tồn kho,13103,2025-03-14,2025-03-14
