report_id,index,value,ingestion_date,updated_date
MWGBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,51947,2025-03-14,2025-03-14
MWGBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,56259,2025-03-14,2025-03-14
MWGBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,59688,2025-03-14,2025-03-14
MWGBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,61075,2025-03-14,2025-03-14
MWGBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,65774,2025-03-14,2025-03-14
MWGBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,5366,2025-03-14,2025-03-14
MWGBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,5571,2025-03-14,2025-03-14
MWGBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,5776,2025-03-14,2025-03-14
MWGBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,9752,2025-03-14,2025-03-14
MWGBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,5697,2025-03-14,2025-03-14
MWGBCKQKDQ42023,1. Tiền,4796,2025-03-14,2025-03-14
MWGBCKQKDQ12024,1. Tiền,5104,2025-03-14,2025-03-14
MWGBCKQKDQ22024,1. Tiền,4565,2025-03-14,2025-03-14
MWGBCKQKDQ32024,1. Tiền,3284,2025-03-14,2025-03-14
MWGBCKQKDQ42024,1. Tiền,4697,2025-03-14,2025-03-14
MWGBCKQKDQ42023,2. Các khoản tương đương tiền,570,2025-03-14,2025-03-14
MWGBCKQKDQ12024,2. Các khoản tương đương tiền,467,2025-03-14,2025-03-14
MWGBCKQKDQ22024,2. Các khoản tương đương tiền,1212,2025-03-14,2025-03-14
MWGBCKQKDQ32024,2. Các khoản tương đương tiền,6469,2025-03-14,2025-03-14
MWGBCKQKDQ42024,2. Các khoản tương đương tiền,1000,2025-03-14,2025-03-14
MWGBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,18937,2025-03-14,2025-03-14
