report_id,index,value,ingestion_date,updated_date
PLXBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,56667,2025-03-14,2025-03-14
PLXBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,58284,2025-03-14,2025-03-14
PLXBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,53399,2025-03-14,2025-03-14
PLXBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,49621,2025-03-14,2025-03-14
PLXBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,60085,2025-03-14,2025-03-14
PLXBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,13379,2025-03-14,2025-03-14
PLXBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,17107,2025-03-14,2025-03-14
PLXBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,15562,2025-03-14,2025-03-14
PLXBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,12294,2025-03-14,2025-03-14
PLXBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,15062,2025-03-14,2025-03-14
PLXBCKQKDQ42023,1. Tiền,7476,2025-03-14,2025-03-14
PLXBCKQKDQ12024,1. Tiền,7800,2025-03-14,2025-03-14
PLXBCKQKDQ22024,1. Tiền,7191,2025-03-14,2025-03-14
PLXBCKQKDQ32024,1. Tiền,6751,2025-03-14,2025-03-14
PLXBCKQKDQ42024,1. Tiền,5329,2025-03-14,2025-03-14
PLXBCKQKDQ42023,2. Các khoản tương đương tiền,5903,2025-03-14,2025-03-14
PLXBCKQKDQ12024,2. Các khoản tương đương tiền,9307,2025-03-14,2025-03-14
PLXBCKQKDQ22024,2. Các khoản tương đương tiền,8372,2025-03-14,2025-03-14
PLXBCKQKDQ32024,2. Các khoản tương đương tiền,5542,2025-03-14,2025-03-14
PLXBCKQKDQ42024,2. Các khoản tương đương tiền,9733,2025-03-14,2025-03-14
PLXBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,16537,2025-03-14,2025-03-14
PLXBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,8619,2025-03-14,2025-03-14
PLXBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,11205,2025-03-14,2025-03-14
PLXBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,12763,2025-03-14,2025-03-14
PLXBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,15144,2025-03-14,2025-03-14
PLXBCKQKDQ42023,1. Chứng khoán kinh doanh,7,2025-03-14,2025-03-14
PLXBCKQKDQ12024,1. Chứng khoán kinh doanh,7,2025-03-14,2025-03-14
PLXBCKQKDQ22024,1. Chứng khoán kinh doanh,7,2025-03-14,2025-03-14
PLXBCKQKDQ32024,1. Chứng khoán kinh doanh,7,2025-03-14,2025-03-14
PLXBCKQKDQ42024,1. Chứng khoán kinh doanh,7,2025-03-14,2025-03-14
PLXBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-2,2025-03-14,2025-03-14
PLXBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-2,2025-03-14,2025-03-14
PLXBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-2,2025-03-14,2025-03-14
PLXBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-2,2025-03-14,2025-03-14
PLXBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-2,2025-03-14,2025-03-14
PLXBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,16532,2025-03-14,2025-03-14
PLXBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,8615,2025-03-14,2025-03-14
PLXBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,11200,2025-03-14,2025-03-14
PLXBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,12758,2025-03-14,2025-03-14
PLXBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,15139,2025-03-14,2025-03-14
PLXBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,10973,2025-03-14,2025-03-14
PLXBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,14925,2025-03-14,2025-03-14
PLXBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,10571,2025-03-14,2025-03-14
PLXBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,10173,2025-03-14,2025-03-14
PLXBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,12855,2025-03-14,2025-03-14
PLXBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,10026,2025-03-14,2025-03-14
PLXBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,14020,2025-03-14,2025-03-14
PLXBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,9755,2025-03-14,2025-03-14
PLXBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,9566,2025-03-14,2025-03-14
PLXBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,12233,2025-03-14,2025-03-14
PLXBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,663,2025-03-14,2025-03-14
PLXBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,687,2025-03-14,2025-03-14
PLXBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,658,2025-03-14,2025-03-14
PLXBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,801,2025-03-14,2025-03-14
PLXBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,770,2025-03-14,2025-03-14
PLXBCKQKDQ42023,6. Phải thu ngắn hạn khác,808,2025-03-14,2025-03-14
PLXBCKQKDQ12024,6. Phải thu ngắn hạn khác,751,2025-03-14,2025-03-14
PLXBCKQKDQ22024,6. Phải thu ngắn hạn khác,785,2025-03-14,2025-03-14
PLXBCKQKDQ32024,6. Phải thu ngắn hạn khác,569,2025-03-14,2025-03-14
PLXBCKQKDQ42024,6. Phải thu ngắn hạn khác,657,2025-03-14,2025-03-14
PLXBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-526,2025-03-14,2025-03-14
PLXBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-536,2025-03-14,2025-03-14
PLXBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-629,2025-03-14,2025-03-14
PLXBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-765,2025-03-14,2025-03-14
PLXBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-807,2025-03-14,2025-03-14
