report_id,index,value,ingestion_date,updated_date
SABBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,26553,2025-03-14,2025-03-14
SABBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,24869,2025-03-14,2025-03-14
SABBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,27432,2025-03-14,2025-03-14
SABBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,24071,2025-03-14,2025-03-14
SABBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,25067,2025-03-14,2025-03-14
SABBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,5040,2025-03-14,2025-03-14
SABBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,3213,2025-03-14,2025-03-14
SABBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,6034,2025-03-14,2025-03-14
SABBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,5428,2025-03-14,2025-03-14
SABBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,4478,2025-03-14,2025-03-14
SABBCKQKDQ42023,1. Tiền,1423,2025-03-14,2025-03-14
SABBCKQKDQ12024,1. Tiền,1474,2025-03-14,2025-03-14
SABBCKQKDQ22024,1. Tiền,1815,2025-03-14,2025-03-14
SABBCKQKDQ32024,1. Tiền,1894,2025-03-14,2025-03-14
SABBCKQKDQ42024,1. Tiền,1338,2025-03-14,2025-03-14
SABBCKQKDQ42023,2. Các khoản tương đương tiền,3617,2025-03-14,2025-03-14
SABBCKQKDQ12024,2. Các khoản tương đương tiền,1739,2025-03-14,2025-03-14
SABBCKQKDQ22024,2. Các khoản tương đương tiền,4219,2025-03-14,2025-03-14
SABBCKQKDQ32024,2. Các khoản tương đương tiền,3534,2025-03-14,2025-03-14
SABBCKQKDQ42024,2. Các khoản tương đương tiền,3140,2025-03-14,2025-03-14
SABBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,17741,2025-03-14,2025-03-14
SABBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,18202,2025-03-14,2025-03-14
SABBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,17324,2025-03-14,2025-03-14
SABBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,15361,2025-03-14,2025-03-14
SABBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,16566,2025-03-14,2025-03-14
SABBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,17741,2025-03-14,2025-03-14
SABBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,18202,2025-03-14,2025-03-14
SABBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,17324,2025-03-14,2025-03-14
SABBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,15361,2025-03-14,2025-03-14
SABBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,16566,2025-03-14,2025-03-14
SABBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,1229,2025-03-14,2025-03-14
SABBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,1044,2025-03-14,2025-03-14
SABBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,1488,2025-03-14,2025-03-14
SABBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,1305,2025-03-14,2025-03-14
SABBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,1818,2025-03-14,2025-03-14
SABBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,467,2025-03-14,2025-03-14
SABBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,308,2025-03-14,2025-03-14
SABBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,382,2025-03-14,2025-03-14
