report_id,index,value,ingestion_date,updated_date
SHBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",1371,2025-03-14,2025-03-14
SHBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",1558,2025-03-14,2025-03-14
SHBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",1709,2025-03-14,2025-03-14
SHBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",1537,2025-03-14,2025-03-14
SHBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",1564,2025-03-14,2025-03-14
SHBBCKQKDQ42023,II. Tiền gửi tại NHNN,54764,2025-03-14,2025-03-14
SHBBCKQKDQ12024,II. Tiền gửi tại NHNN,8836,2025-03-14,2025-03-14
SHBBCKQKDQ22024,II. Tiền gửi tại NHNN,23163,2025-03-14,2025-03-14
SHBBCKQKDQ32024,II. Tiền gửi tại NHNN,38163,2025-03-14,2025-03-14
SHBBCKQKDQ42024,II. Tiền gửi tại NHNN,27441,2025-03-14,2025-03-14
SHBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",63548,2025-03-14,2025-03-14
SHBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",69289,2025-03-14,2025-03-14
SHBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",85931,2025-03-14,2025-03-14
SHBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",101054,2025-03-14,2025-03-14
SHBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",117349,2025-03-14,2025-03-14
SHBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",54826,2025-03-14,2025-03-14
SHBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",48326,2025-03-14,2025-03-14
SHBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",64506,2025-03-14,2025-03-14
SHBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",77595,2025-03-14,2025-03-14
