report_id,index,value,ingestion_date,updated_date
SSBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",851,2025-03-14,2025-03-14
SSBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",852,2025-03-14,2025-03-14
SSBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",890,2025-03-14,2025-03-14
SSBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",860,2025-03-14,2025-03-14
SSBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",964,2025-03-14,2025-03-14
SSBBCKQKDQ42023,II. Tiền gửi tại NHNN,2800,2025-03-14,2025-03-14
SSBBCKQKDQ12024,II. Tiền gửi tại NHNN,2115,2025-03-14,2025-03-14
SSBBCKQKDQ22024,II. Tiền gửi tại NHNN,5290,2025-03-14,2025-03-14
SSBBCKQKDQ32024,II. Tiền gửi tại NHNN,3687,2025-03-14,2025-03-14
SSBBCKQKDQ42024,II. Tiền gửi tại NHNN,11300,2025-03-14,2025-03-14
SSBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",48699,2025-03-14,2025-03-14
SSBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",60696,2025-03-14,2025-03-14
SSBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",54967,2025-03-14,2025-03-14
SSBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",55028,2025-03-14,2025-03-14
SSBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",70244,2025-03-14,2025-03-14
SSBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",45808,2025-03-14,2025-03-14
SSBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",55354,2025-03-14,2025-03-14
SSBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",50450,2025-03-14,2025-03-14
SSBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",51975,2025-03-14,2025-03-14
SSBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",67920,2025-03-14,2025-03-14
SSBBCKQKDQ42023,2. Cho vay các TCTD khác,2891,2025-03-14,2025-03-14
SSBBCKQKDQ12024,2. Cho vay các TCTD khác,5342,2025-03-14,2025-03-14
