report_id,index,value,ingestion_date,updated_date
SSIBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,65755,2025-03-14,2025-03-14
SSIBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,61958,2025-03-14,2025-03-14
SSIBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,67558,2025-03-14,2025-03-14
SSIBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,64284,2025-03-14,2025-03-14
SSIBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,70932,2025-03-14,2025-03-14
SSIBCKQKDQ42023,I. Tài sản tài chính ngắn hạn,65659,2025-03-14,2025-03-14
SSIBCKQKDQ12024,I. Tài sản tài chính ngắn hạn,61829,2025-03-14,2025-03-14
SSIBCKQKDQ22024,I. Tài sản tài chính ngắn hạn,67451,2025-03-14,2025-03-14
SSIBCKQKDQ32024,I. Tài sản tài chính ngắn hạn,64079,2025-03-14,2025-03-14
SSIBCKQKDQ42024,I. Tài sản tài chính ngắn hạn,70814,2025-03-14,2025-03-14
SSIBCKQKDQ42023,1. Tiền và các khoản tương đương tiền,494,2025-03-14,2025-03-14
SSIBCKQKDQ12024,1. Tiền và các khoản tương đương tiền,155,2025-03-14,2025-03-14
SSIBCKQKDQ22024,1. Tiền và các khoản tương đương tiền,2132,2025-03-14,2025-03-14
SSIBCKQKDQ32024,1. Tiền và các khoản tương đương tiền,661,2025-03-14,2025-03-14
SSIBCKQKDQ42024,1. Tiền và các khoản tương đương tiền,239,2025-03-14,2025-03-14
SSIBCKQKDQ42023,1.1. Tiền,479,2025-03-14,2025-03-14
SSIBCKQKDQ12024,1.1. Tiền,142,2025-03-14,2025-03-14
SSIBCKQKDQ22024,1.1. Tiền,131,2025-03-14,2025-03-14
SSIBCKQKDQ32024,1.1. Tiền,661,2025-03-14,2025-03-14
SSIBCKQKDQ42024,1.1. Tiền,209,2025-03-14,2025-03-14
SSIBCKQKDQ42023,1.2. Các khoản tương đương tiền,15,2025-03-14,2025-03-14
SSIBCKQKDQ12024,1.2. Các khoản tương đương tiền,13,2025-03-14,2025-03-14
SSIBCKQKDQ22024,1.2. Các khoản tương đương tiền,2001,2025-03-14,2025-03-14
SSIBCKQKDQ32024,1.2. Các khoản tương đương tiền,30,2025-03-14,2025-03-14
SSIBCKQKDQ42023,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),44072,2025-03-14,2025-03-14
SSIBCKQKDQ12024,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),39295,2025-03-14,2025-03-14
SSIBCKQKDQ22024,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),40015,2025-03-14,2025-03-14
SSIBCKQKDQ32024,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),37316,2025-03-14,2025-03-14
SSIBCKQKDQ42024,2. Các tài sản tài chính ghi nhận thông qua lãi lỗ (FVTPL),42438,2025-03-14,2025-03-14
SSIBCKQKDQ42023,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),4973,2025-03-14,2025-03-14
SSIBCKQKDQ12024,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3592,2025-03-14,2025-03-14
SSIBCKQKDQ22024,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3401,2025-03-14,2025-03-14
SSIBCKQKDQ32024,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),4979,2025-03-14,2025-03-14
SSIBCKQKDQ42024,3. Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),3894,2025-03-14,2025-03-14
SSIBCKQKDQ42023,4. Các khoản cho vay,15134,2025-03-14,2025-03-14
SSIBCKQKDQ12024,4. Các khoản cho vay,17570,2025-03-14,2025-03-14
SSIBCKQKDQ22024,4. Các khoản cho vay,20385,2025-03-14,2025-03-14
SSIBCKQKDQ32024,4. Các khoản cho vay,19499,2025-03-14,2025-03-14
SSIBCKQKDQ42024,4. Các khoản cho vay,21999,2025-03-14,2025-03-14
SSIBCKQKDQ42023,5. Các tài sản tài chính sẵn sàn để bán (AFS),416,2025-03-14,2025-03-14
SSIBCKQKDQ12024,5. Các tài sản tài chính sẵn sàn để bán (AFS),573,2025-03-14,2025-03-14
SSIBCKQKDQ22024,5. Các tài sản tài chính sẵn sàn để bán (AFS),591,2025-03-14,2025-03-14
SSIBCKQKDQ32024,5. Các tài sản tài chính sẵn sàn để bán (AFS),583,2025-03-14,2025-03-14
SSIBCKQKDQ42024,5. Các tài sản tài chính sẵn sàn để bán (AFS),562,2025-03-14,2025-03-14
SSIBCKQKDQ42023,6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-33,2025-03-14,2025-03-14
SSIBCKQKDQ12024,6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-33,2025-03-14,2025-03-14
SSIBCKQKDQ22024,6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-33,2025-03-14,2025-03-14
SSIBCKQKDQ32024,6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-22,2025-03-14,2025-03-14
SSIBCKQKDQ42024,6. Dự phòng suy giảm giá trị tài sản tài chính và tài sản thế chấp,-55,2025-03-14,2025-03-14
