report_id,index,value,ingestion_date,updated_date
STBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",7545,2025-03-14,2025-03-14
STBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",8488,2025-03-14,2025-03-14
STBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",7051,2025-03-14,2025-03-14
STBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",8901,2025-03-14,2025-03-14
STBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",8215,2025-03-14,2025-03-14
STBBCKQKDQ42023,II. Tiền gửi tại NHNN,12848,2025-03-14,2025-03-14
STBBCKQKDQ12024,II. Tiền gửi tại NHNN,15798,2025-03-14,2025-03-14
STBBCKQKDQ22024,II. Tiền gửi tại NHNN,14974,2025-03-14,2025-03-14
STBBCKQKDQ32024,II. Tiền gửi tại NHNN,15451,2025-03-14,2025-03-14
STBBCKQKDQ42024,II. Tiền gửi tại NHNN,17644,2025-03-14,2025-03-14
STBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",50333,2025-03-14,2025-03-14
STBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",56986,2025-03-14,2025-03-14
STBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",71386,2025-03-14,2025-03-14
STBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",60285,2025-03-14,2025-03-14
STBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",88241,2025-03-14,2025-03-14
STBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",50114,2025-03-14,2025-03-14
STBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",56766,2025-03-14,2025-03-14
STBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",71202,2025-03-14,2025-03-14
STBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",60086,2025-03-14,2025-03-14
STBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",80634,2025-03-14,2025-03-14
STBBCKQKDQ42023,2. Cho vay các TCTD khác,219,2025-03-14,2025-03-14
STBBCKQKDQ12024,2. Cho vay các TCTD khác,219,2025-03-14,2025-03-14
STBBCKQKDQ22024,2. Cho vay các TCTD khác,183,2025-03-14,2025-03-14
STBBCKQKDQ32024,2. Cho vay các TCTD khác,199,2025-03-14,2025-03-14
STBBCKQKDQ42024,2. Cho vay các TCTD khác,7607,2025-03-14,2025-03-14
STBBCKQKDQ42023,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,138,2025-03-14,2025-03-14
STBBCKQKDQ12024,V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,36,2025-03-14,2025-03-14
STBBCKQKDQ42023,VI. Cho vay khách hàng,475169,2025-03-14,2025-03-14
STBBCKQKDQ12024,VI. Cho vay khách hàng,492140,2025-03-14,2025-03-14
STBBCKQKDQ22024,VI. Cho vay khách hàng,507883,2025-03-14,2025-03-14
STBBCKQKDQ32024,VI. Cho vay khách hàng,515739,2025-03-14,2025-03-14
