report_id,index,value,ingestion_date,updated_date
TCBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",3621,2025-03-14,2025-03-14
TCBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",3665,2025-03-14,2025-03-14
TCBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",3638,2025-03-14,2025-03-14
TCBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",3609,2025-03-14,2025-03-14
TCBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",3385,2025-03-14,2025-03-14
TCBBCKQKDQ42023,II. Tiền gửi tại NHNN,27141,2025-03-14,2025-03-14
TCBBCKQKDQ12024,II. Tiền gửi tại NHNN,13588,2025-03-14,2025-03-14
TCBBCKQKDQ22024,II. Tiền gửi tại NHNN,28055,2025-03-14,2025-03-14
TCBBCKQKDQ32024,II. Tiền gửi tại NHNN,40615,2025-03-14,2025-03-14
TCBBCKQKDQ42024,II. Tiền gửi tại NHNN,54353,2025-03-14,2025-03-14
TCBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",104072,2025-03-14,2025-03-14
TCBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",89075,2025-03-14,2025-03-14
TCBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",88904,2025-03-14,2025-03-14
TCBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",90014,2025-03-14,2025-03-14
TCBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",84590,2025-03-14,2025-03-14
TCBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",80127,2025-03-14,2025-03-14
TCBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",72792,2025-03-14,2025-03-14
TCBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",77099,2025-03-14,2025-03-14
TCBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",80587,2025-03-14,2025-03-14
TCBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",74887,2025-03-14,2025-03-14
TCBBCKQKDQ42023,2. Cho vay các TCTD khác,24047,2025-03-14,2025-03-14
TCBBCKQKDQ12024,2. Cho vay các TCTD khác,16384,2025-03-14,2025-03-14
TCBBCKQKDQ22024,2. Cho vay các TCTD khác,11910,2025-03-14,2025-03-14
TCBBCKQKDQ32024,2. Cho vay các TCTD khác,9608,2025-03-14,2025-03-14
TCBBCKQKDQ42024,2. Cho vay các TCTD khác,9885,2025-03-14,2025-03-14
TCBBCKQKDQ42023,3. Dự phòng rủi ro cho vay các TCTD khác,-101,2025-03-14,2025-03-14
