report_id,index,value,ingestion_date,updated_date
TPBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",2339,2025-03-14,2025-03-14
TPBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",1789,2025-03-14,2025-03-14
TPBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",1455,2025-03-14,2025-03-14
TPBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",1693,2025-03-14,2025-03-14
TPBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",1293,2025-03-14,2025-03-14
TPBBCKQKDQ42023,II. Tiền gửi tại NHNN,9212,2025-03-14,2025-03-14
TPBBCKQKDQ12024,II. Tiền gửi tại NHNN,11378,2025-03-14,2025-03-14
TPBBCKQKDQ22024,II. Tiền gửi tại NHNN,8929,2025-03-14,2025-03-14
TPBBCKQKDQ32024,II. Tiền gửi tại NHNN,13215,2025-03-14,2025-03-14
TPBBCKQKDQ42024,II. Tiền gửi tại NHNN,22708,2025-03-14,2025-03-14
TPBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",52352,2025-03-14,2025-03-14
TPBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",56447,2025-03-14,2025-03-14
TPBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",55159,2025-03-14,2025-03-14
TPBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",54516,2025-03-14,2025-03-14
TPBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",70521,2025-03-14,2025-03-14
TPBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",33888,2025-03-14,2025-03-14
TPBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",41430,2025-03-14,2025-03-14
TPBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",40507,2025-03-14,2025-03-14
TPBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",42047,2025-03-14,2025-03-14
TPBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",62183,2025-03-14,2025-03-14
TPBBCKQKDQ42023,2. Cho vay các TCTD khác,18464,2025-03-14,2025-03-14
TPBBCKQKDQ12024,2. Cho vay các TCTD khác,15017,2025-03-14,2025-03-14
TPBBCKQKDQ22024,2. Cho vay các TCTD khác,14652,2025-03-14,2025-03-14
TPBBCKQKDQ32024,2. Cho vay các TCTD khác,12469,2025-03-14,2025-03-14
TPBBCKQKDQ42024,2. Cho vay các TCTD khác,8338,2025-03-14,2025-03-14
TPBBCKQKDQ42023,IV. Chứng khoán kinh doanh,4,2025-03-14,2025-03-14
TPBBCKQKDQ12024,IV. Chứng khoán kinh doanh,5,2025-03-14,2025-03-14
TPBBCKQKDQ22024,IV. Chứng khoán kinh doanh,0,2025-03-14,2025-03-14
TPBBCKQKDQ32024,IV. Chứng khoán kinh doanh,0,2025-03-14,2025-03-14
TPBBCKQKDQ42023,1. Chứng khoán kinh doanh,4,2025-03-14,2025-03-14
TPBBCKQKDQ12024,1. Chứng khoán kinh doanh,5,2025-03-14,2025-03-14
TPBBCKQKDQ22024,1. Chứng khoán kinh doanh,0,2025-03-14,2025-03-14
TPBBCKQKDQ32024,1. Chứng khoán kinh doanh,0,2025-03-14,2025-03-14
TPBBCKQKDQ42023,VI. Cho vay khách hàng,202586,2025-03-14,2025-03-14
TPBBCKQKDQ12024,VI. Cho vay khách hàng,198128,2025-03-14,2025-03-14
TPBBCKQKDQ22024,VI. Cho vay khách hàng,210530,2025-03-14,2025-03-14
TPBBCKQKDQ32024,VI. Cho vay khách hàng,231562,2025-03-14,2025-03-14
TPBBCKQKDQ42024,VI. Cho vay khách hàng,247239,2025-03-14,2025-03-14
TPBBCKQKDQ42023,1. Cho vay và cho thuê tài chính khách hàng,205262,2025-03-14,2025-03-14
TPBBCKQKDQ12024,1. Cho vay và cho thuê tài chính khách hàng,200829,2025-03-14,2025-03-14
TPBBCKQKDQ22024,1. Cho vay và cho thuê tài chính khách hàng,213432,2025-03-14,2025-03-14
TPBBCKQKDQ32024,1. Cho vay và cho thuê tài chính khách hàng,234722,2025-03-14,2025-03-14
TPBBCKQKDQ42024,1. Cho vay và cho thuê tài chính khách hàng,250331,2025-03-14,2025-03-14
TPBBCKQKDQ42023,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-2676,2025-03-14,2025-03-14
TPBBCKQKDQ12024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-2701,2025-03-14,2025-03-14
TPBBCKQKDQ22024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-2902,2025-03-14,2025-03-14
TPBBCKQKDQ32024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-3160,2025-03-14,2025-03-14
TPBBCKQKDQ42024,2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-3093,2025-03-14,2025-03-14
TPBBCKQKDQ42023,VII. Hoạt động mua nợ,92,2025-03-14,2025-03-14
TPBBCKQKDQ12024,VII. Hoạt động mua nợ,805,2025-03-14,2025-03-14
TPBBCKQKDQ22024,VII. Hoạt động mua nợ,793,2025-03-14,2025-03-14
TPBBCKQKDQ32024,VII. Hoạt động mua nợ,781,2025-03-14,2025-03-14
TPBBCKQKDQ42024,VII. Hoạt động mua nợ,767,2025-03-14,2025-03-14
TPBBCKQKDQ42023,1. Mua nợ,93,2025-03-14,2025-03-14
TPBBCKQKDQ12024,1. Mua nợ,811,2025-03-14,2025-03-14
TPBBCKQKDQ22024,1. Mua nợ,799,2025-03-14,2025-03-14
TPBBCKQKDQ32024,1. Mua nợ,787,2025-03-14,2025-03-14
TPBBCKQKDQ42024,1. Mua nợ,773,2025-03-14,2025-03-14
TPBBCKQKDQ42023,2. Dự phòng rủi ro hoạt động mua nợ,-1,2025-03-14,2025-03-14
TPBBCKQKDQ12024,2. Dự phòng rủi ro hoạt động mua nợ,-6,2025-03-14,2025-03-14
TPBBCKQKDQ22024,2. Dự phòng rủi ro hoạt động mua nợ,-6,2025-03-14,2025-03-14
TPBBCKQKDQ32024,2. Dự phòng rủi ro hoạt động mua nợ,-6,2025-03-14,2025-03-14
TPBBCKQKDQ42024,2. Dự phòng rủi ro hoạt động mua nợ,-6,2025-03-14,2025-03-14
TPBBCKQKDQ42023,VII. Chứng khoán đầu tư,65336,2025-03-14,2025-03-14
TPBBCKQKDQ12024,VII. Chứng khoán đầu tư,62152,2025-03-14,2025-03-14
TPBBCKQKDQ22024,VII. Chứng khoán đầu tư,60865,2025-03-14,2025-03-14
TPBBCKQKDQ32024,VII. Chứng khoán đầu tư,63893,2025-03-14,2025-03-14
TPBBCKQKDQ42024,VII. Chứng khoán đầu tư,59472,2025-03-14,2025-03-14
TPBBCKQKDQ42023,1. Chứng khoán đầu tư sẵn sàng để bán,65392,2025-03-14,2025-03-14
TPBBCKQKDQ12024,1. Chứng khoán đầu tư sẵn sàng để bán,62199,2025-03-14,2025-03-14
TPBBCKQKDQ22024,1. Chứng khoán đầu tư sẵn sàng để bán,60911,2025-03-14,2025-03-14
TPBBCKQKDQ32024,1. Chứng khoán đầu tư sẵn sàng để bán,63959,2025-03-14,2025-03-14
TPBBCKQKDQ42024,1. Chứng khoán đầu tư sẵn sàng để bán,59549,2025-03-14,2025-03-14
TPBBCKQKDQ42023,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,2025-03-14,2025-03-14
TPBBCKQKDQ12024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,2025-03-14,2025-03-14
TPBBCKQKDQ22024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,2025-03-14,2025-03-14
TPBBCKQKDQ32024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,2025-03-14,2025-03-14
TPBBCKQKDQ42024,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,45,2025-03-14,2025-03-14
TPBBCKQKDQ42023,3. Dự phòng giảm giá chứng khoán đầu tư,-100,2025-03-14,2025-03-14
TPBBCKQKDQ12024,3. Dự phòng giảm giá chứng khoán đầu tư,-92,2025-03-14,2025-03-14
TPBBCKQKDQ22024,3. Dự phòng giảm giá chứng khoán đầu tư,-91,2025-03-14,2025-03-14
TPBBCKQKDQ32024,3. Dự phòng giảm giá chứng khoán đầu tư,-111,2025-03-14,2025-03-14
TPBBCKQKDQ42024,3. Dự phòng giảm giá chứng khoán đầu tư,-122,2025-03-14,2025-03-14
TPBBCKQKDQ42023,IX. Tài sản cố định,1059,2025-03-14,2025-03-14
TPBBCKQKDQ12024,IX. Tài sản cố định,999,2025-03-14,2025-03-14
TPBBCKQKDQ22024,IX. Tài sản cố định,1060,2025-03-14,2025-03-14
TPBBCKQKDQ32024,IX. Tài sản cố định,1091,2025-03-14,2025-03-14
TPBBCKQKDQ42024,IX. Tài sản cố định,1222,2025-03-14,2025-03-14
TPBBCKQKDQ42023,1. Tài sản cố định hữu hình,729,2025-03-14,2025-03-14
TPBBCKQKDQ12024,1. Tài sản cố định hữu hình,686,2025-03-14,2025-03-14
TPBBCKQKDQ22024,1. Tài sản cố định hữu hình,763,2025-03-14,2025-03-14
TPBBCKQKDQ32024,1. Tài sản cố định hữu hình,721,2025-03-14,2025-03-14
TPBBCKQKDQ42024,1. Tài sản cố định hữu hình,857,2025-03-14,2025-03-14
TPBBCKQKDQ42023,a. Nguyên giá TSCĐ,1786,2025-03-14,2025-03-14
TPBBCKQKDQ12024,a. Nguyên giá TSCĐ,1796,2025-03-14,2025-03-14
TPBBCKQKDQ22024,a. Nguyên giá TSCĐ,1934,2025-03-14,2025-03-14
TPBBCKQKDQ32024,a. Nguyên giá TSCĐ,1950,2025-03-14,2025-03-14
TPBBCKQKDQ42024,a. Nguyên giá TSCĐ,2134,2025-03-14,2025-03-14
TPBBCKQKDQ42023,b. Hao mòn TSCĐ,-1056,2025-03-14,2025-03-14
TPBBCKQKDQ12024,b. Hao mòn TSCĐ,-1111,2025-03-14,2025-03-14
TPBBCKQKDQ22024,b. Hao mòn TSCĐ,-1170,2025-03-14,2025-03-14
TPBBCKQKDQ32024,b. Hao mòn TSCĐ,-1229,2025-03-14,2025-03-14
TPBBCKQKDQ42024,b. Hao mòn TSCĐ,-1277,2025-03-14,2025-03-14
TPBBCKQKDQ42023,3. Tài sản cố định vô hình,329,2025-03-14,2025-03-14
TPBBCKQKDQ12024,3. Tài sản cố định vô hình,313,2025-03-14,2025-03-14
TPBBCKQKDQ22024,3. Tài sản cố định vô hình,297,2025-03-14,2025-03-14
TPBBCKQKDQ32024,3. Tài sản cố định vô hình,371,2025-03-14,2025-03-14
TPBBCKQKDQ42024,3. Tài sản cố định vô hình,365,2025-03-14,2025-03-14
TPBBCKQKDQ42023,a. Nguyên giá TSCĐ,886,2025-03-14,2025-03-14
TPBBCKQKDQ12024,a. Nguyên giá TSCĐ,895,2025-03-14,2025-03-14
TPBBCKQKDQ22024,a. Nguyên giá TSCĐ,904,2025-03-14,2025-03-14
TPBBCKQKDQ32024,a. Nguyên giá TSCĐ,1005,2025-03-14,2025-03-14
TPBBCKQKDQ42024,a. Nguyên giá TSCĐ,1028,2025-03-14,2025-03-14
TPBBCKQKDQ42023,b. Hao mòn TSCĐ,-557,2025-03-14,2025-03-14
TPBBCKQKDQ12024,b. Hao mòn TSCĐ,-582,2025-03-14,2025-03-14
TPBBCKQKDQ22024,b. Hao mòn TSCĐ,-608,2025-03-14,2025-03-14
TPBBCKQKDQ32024,b. Hao mòn TSCĐ,-634,2025-03-14,2025-03-14
TPBBCKQKDQ42024,b. Hao mòn TSCĐ,-663,2025-03-14,2025-03-14
TPBBCKQKDQ42023,"XI. Tài sản ""Có"" khác",23662,2025-03-14,2025-03-14
TPBBCKQKDQ12024,"XI. Tài sản ""Có"" khác",24168,2025-03-14,2025-03-14
TPBBCKQKDQ22024,"XI. Tài sản ""Có"" khác",22759,2025-03-14,2025-03-14
TPBBCKQKDQ32024,"XI. Tài sản ""Có"" khác",18602,2025-03-14,2025-03-14
