report_id,index,value,ingestion_date,updated_date
VCBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",14505,2025-03-14,2025-03-14
VCBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",12916,2025-03-14,2025-03-14
VCBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",12950,2025-03-14,2025-03-14
VCBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",13158,2025-03-14,2025-03-14
VCBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",14268,2025-03-14,2025-03-14
VCBBCKQKDQ42023,II. Tiền gửi tại NHNN,58105,2025-03-14,2025-03-14
VCBBCKQKDQ12024,II. Tiền gửi tại NHNN,37837,2025-03-14,2025-03-14
VCBBCKQKDQ22024,II. Tiền gửi tại NHNN,35736,2025-03-14,2025-03-14
VCBBCKQKDQ32024,II. Tiền gửi tại NHNN,13749,2025-03-14,2025-03-14
VCBBCKQKDQ42024,II. Tiền gửi tại NHNN,49340,2025-03-14,2025-03-14
VCBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",335616,2025-03-14,2025-03-14
VCBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",273301,2025-03-14,2025-03-14
VCBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",316590,2025-03-14,2025-03-14
VCBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",316567,2025-03-14,2025-03-14
VCBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",389296,2025-03-14,2025-03-14
VCBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",311150,2025-03-14,2025-03-14
VCBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",254973,2025-03-14,2025-03-14
VCBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",303761,2025-03-14,2025-03-14
VCBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",304725,2025-03-14,2025-03-14
VCBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",383376,2025-03-14,2025-03-14
VCBBCKQKDQ42023,2. Cho vay các TCTD khác,30176,2025-03-14,2025-03-14
VCBBCKQKDQ12024,2. Cho vay các TCTD khác,23276,2025-03-14,2025-03-14
VCBBCKQKDQ22024,2. Cho vay các TCTD khác,13828,2025-03-14,2025-03-14
VCBBCKQKDQ32024,2. Cho vay các TCTD khác,12842,2025-03-14,2025-03-14
