report_id,index,value,ingestion_date,updated_date
VHMBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,240250,2025-03-14,2025-03-14
VHMBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,255296,2025-03-14,2025-03-14
VHMBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,249058,2025-03-14,2025-03-14
VHMBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,302730,2025-03-14,2025-03-14
VHMBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,287466,2025-03-14,2025-03-14
VHMBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,14104,2025-03-14,2025-03-14
VHMBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,9525,2025-03-14,2025-03-14
VHMBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,17180,2025-03-14,2025-03-14
VHMBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,20621,2025-03-14,2025-03-14
VHMBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,28991,2025-03-14,2025-03-14
VHMBCKQKDQ42023,1. Tiền,13124,2025-03-14,2025-03-14
VHMBCKQKDQ12024,1. Tiền,8904,2025-03-14,2025-03-14
VHMBCKQKDQ22024,1. Tiền,16636,2025-03-14,2025-03-14
VHMBCKQKDQ32024,1. Tiền,20325,2025-03-14,2025-03-14
VHMBCKQKDQ42024,1. Tiền,21851,2025-03-14,2025-03-14
VHMBCKQKDQ42023,2. Các khoản tương đương tiền,980,2025-03-14,2025-03-14
VHMBCKQKDQ12024,2. Các khoản tương đương tiền,620,2025-03-14,2025-03-14
VHMBCKQKDQ22024,2. Các khoản tương đương tiền,544,2025-03-14,2025-03-14
VHMBCKQKDQ32024,2. Các khoản tương đương tiền,297,2025-03-14,2025-03-14
VHMBCKQKDQ42024,2. Các khoản tương đương tiền,7139,2025-03-14,2025-03-14
VHMBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,3833,2025-03-14,2025-03-14
