report_id,index,value,ingestion_date,updated_date
VICBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,342609,2025-03-14,2025-03-14
VICBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,350050,2025-03-14,2025-03-14
VICBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,341124,2025-03-14,2025-03-14
VICBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,423991,2025-03-14,2025-03-14
VICBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,400375,2025-03-14,2025-03-14
VICBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,29290,2025-03-14,2025-03-14
VICBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,26653,2025-03-14,2025-03-14
VICBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,28544,2025-03-14,2025-03-14
VICBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,27040,2025-03-14,2025-03-14
VICBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,42669,2025-03-14,2025-03-14
VICBCKQKDQ42023,1. Tiền,26523,2025-03-14,2025-03-14
VICBCKQKDQ12024,1. Tiền,25451,2025-03-14,2025-03-14
VICBCKQKDQ22024,1. Tiền,27584,2025-03-14,2025-03-14
VICBCKQKDQ32024,1. Tiền,26732,2025-03-14,2025-03-14
VICBCKQKDQ42024,1. Tiền,32413,2025-03-14,2025-03-14
VICBCKQKDQ42023,2. Các khoản tương đương tiền,2767,2025-03-14,2025-03-14
VICBCKQKDQ12024,2. Các khoản tương đương tiền,1202,2025-03-14,2025-03-14
VICBCKQKDQ22024,2. Các khoản tương đương tiền,960,2025-03-14,2025-03-14
VICBCKQKDQ32024,2. Các khoản tương đương tiền,309,2025-03-14,2025-03-14
VICBCKQKDQ42024,2. Các khoản tương đương tiền,10256,2025-03-14,2025-03-14
VICBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,5672,2025-03-14,2025-03-14
VICBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,4417,2025-03-14,2025-03-14
VICBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,4219,2025-03-14,2025-03-14
VICBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,6425,2025-03-14,2025-03-14
VICBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,6593,2025-03-14,2025-03-14
VICBCKQKDQ42023,1. Chứng khoán kinh doanh,1500,2025-03-14,2025-03-14
VICBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,5672,2025-03-14,2025-03-14
VICBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,4417,2025-03-14,2025-03-14
VICBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,4219,2025-03-14,2025-03-14
VICBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,6425,2025-03-14,2025-03-14
VICBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,5093,2025-03-14,2025-03-14
VICBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,165399,2025-03-14,2025-03-14
VICBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,177746,2025-03-14,2025-03-14
VICBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,161331,2025-03-14,2025-03-14
VICBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,217471,2025-03-14,2025-03-14
VICBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,190336,2025-03-14,2025-03-14
VICBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,27605,2025-03-14,2025-03-14
VICBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,25462,2025-03-14,2025-03-14
VICBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,23517,2025-03-14,2025-03-14
VICBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,27140,2025-03-14,2025-03-14
VICBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,28903,2025-03-14,2025-03-14
VICBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,34411,2025-03-14,2025-03-14
VICBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,37813,2025-03-14,2025-03-14
VICBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,36589,2025-03-14,2025-03-14
VICBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,38449,2025-03-14,2025-03-14
