report_id,index,value,ingestion_date,updated_date
VJCBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,37272,2025-03-14,2025-03-14
VJCBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,38743,2025-03-14,2025-03-14
VJCBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,42583,2025-03-14,2025-03-14
VJCBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,43484,2025-03-14,2025-03-14
VJCBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,42389,2025-03-14,2025-03-14
VJCBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,5051,2025-03-14,2025-03-14
VJCBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,3041,2025-03-14,2025-03-14
VJCBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,4105,2025-03-14,2025-03-14
VJCBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,2061,2025-03-14,2025-03-14
VJCBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,4559,2025-03-14,2025-03-14
VJCBCKQKDQ42023,1. Tiền,2428,2025-03-14,2025-03-14
VJCBCKQKDQ12024,1. Tiền,1595,2025-03-14,2025-03-14
VJCBCKQKDQ22024,1. Tiền,2042,2025-03-14,2025-03-14
VJCBCKQKDQ32024,1. Tiền,1546,2025-03-14,2025-03-14
VJCBCKQKDQ42024,1. Tiền,4029,2025-03-14,2025-03-14
VJCBCKQKDQ42023,2. Các khoản tương đương tiền,2623,2025-03-14,2025-03-14
VJCBCKQKDQ12024,2. Các khoản tương đương tiền,1445,2025-03-14,2025-03-14
VJCBCKQKDQ22024,2. Các khoản tương đương tiền,2063,2025-03-14,2025-03-14
VJCBCKQKDQ32024,2. Các khoản tương đương tiền,515,2025-03-14,2025-03-14
VJCBCKQKDQ42024,2. Các khoản tương đương tiền,530,2025-03-14,2025-03-14
VJCBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,613,2025-03-14,2025-03-14
VJCBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,799,2025-03-14,2025-03-14
VJCBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,904,2025-03-14,2025-03-14
VJCBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,2673,2025-03-14,2025-03-14
VJCBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,3826,2025-03-14,2025-03-14
VJCBCKQKDQ42023,1. Chứng khoán kinh doanh,990,2025-03-14,2025-03-14
VJCBCKQKDQ12024,1. Chứng khoán kinh doanh,990,2025-03-14,2025-03-14
VJCBCKQKDQ22024,1. Chứng khoán kinh doanh,990,2025-03-14,2025-03-14
VJCBCKQKDQ32024,1. Chứng khoán kinh doanh,990,2025-03-14,2025-03-14
VJCBCKQKDQ42024,1. Chứng khoán kinh doanh,990,2025-03-14,2025-03-14
VJCBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-486,2025-03-14,2025-03-14
VJCBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-486,2025-03-14,2025-03-14
VJCBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-399,2025-03-14,2025-03-14
VJCBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-312,2025-03-14,2025-03-14
VJCBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-387,2025-03-14,2025-03-14
VJCBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,110,2025-03-14,2025-03-14
VJCBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,295,2025-03-14,2025-03-14
VJCBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,313,2025-03-14,2025-03-14
VJCBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,1995,2025-03-14,2025-03-14
VJCBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,3223,2025-03-14,2025-03-14
VJCBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,30696,2025-03-14,2025-03-14
VJCBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,33766,2025-03-14,2025-03-14
VJCBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,36355,2025-03-14,2025-03-14
VJCBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,37283,2025-03-14,2025-03-14
VJCBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,31757,2025-03-14,2025-03-14
VJCBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,10722,2025-03-14,2025-03-14
VJCBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,11997,2025-03-14,2025-03-14
VJCBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,12717,2025-03-14,2025-03-14
VJCBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,11578,2025-03-14,2025-03-14
VJCBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,16308,2025-03-14,2025-03-14
VJCBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,1959,2025-03-14,2025-03-14
VJCBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,1752,2025-03-14,2025-03-14
VJCBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,1063,2025-03-14,2025-03-14
VJCBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,2178,2025-03-14,2025-03-14
VJCBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,769,2025-03-14,2025-03-14
VJCBCKQKDQ42023,5. Phải thu về cho vay ngắn hạn,457,2025-03-14,2025-03-14
VJCBCKQKDQ12024,5. Phải thu về cho vay ngắn hạn,476,2025-03-14,2025-03-14
VJCBCKQKDQ22024,5. Phải thu về cho vay ngắn hạn,509,2025-03-14,2025-03-14
VJCBCKQKDQ32024,5. Phải thu về cho vay ngắn hạn,511,2025-03-14,2025-03-14
VJCBCKQKDQ42024,5. Phải thu về cho vay ngắn hạn,1036,2025-03-14,2025-03-14
