report_id,index,value,ingestion_date,updated_date
VNMBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,35936,2025-03-14,2025-03-14
VNMBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,35014,2025-03-14,2025-03-14
VNMBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,37333,2025-03-14,2025-03-14
VNMBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,40582,2025-03-14,2025-03-14
VNMBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,37554,2025-03-14,2025-03-14
VNMBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,2912,2025-03-14,2025-03-14
VNMBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,1788,2025-03-14,2025-03-14
VNMBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,1199,2025-03-14,2025-03-14
VNMBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,2616,2025-03-14,2025-03-14
VNMBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,2226,2025-03-14,2025-03-14
VNMBCKQKDQ42023,1. Tiền,1025,2025-03-14,2025-03-14
VNMBCKQKDQ12024,1. Tiền,790,2025-03-14,2025-03-14
VNMBCKQKDQ22024,1. Tiền,1019,2025-03-14,2025-03-14
VNMBCKQKDQ32024,1. Tiền,1421,2025-03-14,2025-03-14
VNMBCKQKDQ42024,1. Tiền,1878,2025-03-14,2025-03-14
VNMBCKQKDQ42023,2. Các khoản tương đương tiền,1887,2025-03-14,2025-03-14
VNMBCKQKDQ12024,2. Các khoản tương đương tiền,998,2025-03-14,2025-03-14
VNMBCKQKDQ22024,2. Các khoản tương đương tiền,180,2025-03-14,2025-03-14
VNMBCKQKDQ32024,2. Các khoản tương đương tiền,1195,2025-03-14,2025-03-14
VNMBCKQKDQ42024,2. Các khoản tương đương tiền,348,2025-03-14,2025-03-14
VNMBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,20137,2025-03-14,2025-03-14
VNMBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,20268,2025-03-14,2025-03-14
VNMBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,23031,2025-03-14,2025-03-14
VNMBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,25983,2025-03-14,2025-03-14
VNMBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,23260,2025-03-14,2025-03-14
VNMBCKQKDQ42023,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
VNMBCKQKDQ12024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
VNMBCKQKDQ22024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
VNMBCKQKDQ32024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
VNMBCKQKDQ42024,1. Chứng khoán kinh doanh,1,2025-03-14,2025-03-14
VNMBCKQKDQ42023,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,2025-03-14,2025-03-14
VNMBCKQKDQ12024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,2025-03-14,2025-03-14
VNMBCKQKDQ22024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,2025-03-14,2025-03-14
VNMBCKQKDQ32024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,2025-03-14,2025-03-14
VNMBCKQKDQ42024,2. Dự phòng giảm giá chứng khoán kinh doanh (*),-1,2025-03-14,2025-03-14
VNMBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,20137,2025-03-14,2025-03-14
VNMBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,20268,2025-03-14,2025-03-14
VNMBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,23031,2025-03-14,2025-03-14
VNMBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,25982,2025-03-14,2025-03-14
VNMBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,23260,2025-03-14,2025-03-14
VNMBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,6530,2025-03-14,2025-03-14
VNMBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,5869,2025-03-14,2025-03-14
