report_id,index,value,ingestion_date,updated_date
VPBBCKQKDQ42023,"I. Tiền mặt, vàng bạc, đá quý",2285,2025-03-14,2025-03-14
VPBBCKQKDQ12024,"I. Tiền mặt, vàng bạc, đá quý",2433,2025-03-14,2025-03-14
VPBBCKQKDQ22024,"I. Tiền mặt, vàng bạc, đá quý",2597,2025-03-14,2025-03-14
VPBBCKQKDQ32024,"I. Tiền mặt, vàng bạc, đá quý",2682,2025-03-14,2025-03-14
VPBBCKQKDQ42024,"I. Tiền mặt, vàng bạc, đá quý",2148,2025-03-14,2025-03-14
VPBBCKQKDQ42023,II. Tiền gửi tại NHNN,8423,2025-03-14,2025-03-14
VPBBCKQKDQ12024,II. Tiền gửi tại NHNN,7759,2025-03-14,2025-03-14
VPBBCKQKDQ22024,II. Tiền gửi tại NHNN,14976,2025-03-14,2025-03-14
VPBBCKQKDQ32024,II. Tiền gửi tại NHNN,13547,2025-03-14,2025-03-14
VPBBCKQKDQ42024,II. Tiền gửi tại NHNN,14327,2025-03-14,2025-03-14
VPBBCKQKDQ42023,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",94094,2025-03-14,2025-03-14
VPBBCKQKDQ12024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",98546,2025-03-14,2025-03-14
VPBBCKQKDQ22024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",115859,2025-03-14,2025-03-14
VPBBCKQKDQ32024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",119231,2025-03-14,2025-03-14
VPBBCKQKDQ42024,"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",134644,2025-03-14,2025-03-14
VPBBCKQKDQ42023,"1. Tiền, vàng gửi tại các TCTD khác",81299,2025-03-14,2025-03-14
VPBBCKQKDQ12024,"1. Tiền, vàng gửi tại các TCTD khác",77117,2025-03-14,2025-03-14
VPBBCKQKDQ22024,"1. Tiền, vàng gửi tại các TCTD khác",84695,2025-03-14,2025-03-14
VPBBCKQKDQ32024,"1. Tiền, vàng gửi tại các TCTD khác",102988,2025-03-14,2025-03-14
VPBBCKQKDQ42024,"1. Tiền, vàng gửi tại các TCTD khác",126527,2025-03-14,2025-03-14
VPBBCKQKDQ42023,2. Cho vay các TCTD khác,12795,2025-03-14,2025-03-14
VPBBCKQKDQ12024,2. Cho vay các TCTD khác,21429,2025-03-14,2025-03-14
VPBBCKQKDQ22024,2. Cho vay các TCTD khác,31164,2025-03-14,2025-03-14
VPBBCKQKDQ32024,2. Cho vay các TCTD khác,16244,2025-03-14,2025-03-14
VPBBCKQKDQ42024,2. Cho vay các TCTD khác,8116,2025-03-14,2025-03-14
VPBBCKQKDQ42023,IV. Chứng khoán kinh doanh,12326,2025-03-14,2025-03-14
VPBBCKQKDQ12024,IV. Chứng khoán kinh doanh,11331,2025-03-14,2025-03-14
