report_id,index,value,ingestion_date,updated_date
VREBCKQKDQ42023,A. TÀI SẢN NGẮN HẠN,10036,2025-03-14,2025-03-14
VREBCKQKDQ12024,A. TÀI SẢN NGẮN HẠN,11393,2025-03-14,2025-03-14
VREBCKQKDQ22024,A. TÀI SẢN NGẮN HẠN,12384,2025-03-14,2025-03-14
VREBCKQKDQ32024,A. TÀI SẢN NGẮN HẠN,12589,2025-03-14,2025-03-14
VREBCKQKDQ42024,A. TÀI SẢN NGẮN HẠN,12312,2025-03-14,2025-03-14
VREBCKQKDQ42023,I. Tiền và các khoản tương đương tiền,4102,2025-03-14,2025-03-14
VREBCKQKDQ12024,I. Tiền và các khoản tương đương tiền,2921,2025-03-14,2025-03-14
VREBCKQKDQ22024,I. Tiền và các khoản tương đương tiền,1003,2025-03-14,2025-03-14
VREBCKQKDQ32024,I. Tiền và các khoản tương đương tiền,3427,2025-03-14,2025-03-14
VREBCKQKDQ42024,I. Tiền và các khoản tương đương tiền,2885,2025-03-14,2025-03-14
VREBCKQKDQ42023,1. Tiền,4052,2025-03-14,2025-03-14
VREBCKQKDQ12024,1. Tiền,1062,2025-03-14,2025-03-14
VREBCKQKDQ22024,1. Tiền,1003,2025-03-14,2025-03-14
VREBCKQKDQ32024,1. Tiền,3427,2025-03-14,2025-03-14
VREBCKQKDQ42024,1. Tiền,2885,2025-03-14,2025-03-14
VREBCKQKDQ42023,2. Các khoản tương đương tiền,50,2025-03-14,2025-03-14
VREBCKQKDQ12024,2. Các khoản tương đương tiền,1859,2025-03-14,2025-03-14
VREBCKQKDQ42023,II.  Đầu tư tài chính ngắn hạn,1071,2025-03-14,2025-03-14
VREBCKQKDQ12024,II.  Đầu tư tài chính ngắn hạn,1017,2025-03-14,2025-03-14
VREBCKQKDQ22024,II.  Đầu tư tài chính ngắn hạn,114,2025-03-14,2025-03-14
VREBCKQKDQ32024,II.  Đầu tư tài chính ngắn hạn,1458,2025-03-14,2025-03-14
VREBCKQKDQ42024,II.  Đầu tư tài chính ngắn hạn,126,2025-03-14,2025-03-14
VREBCKQKDQ42023,3. Đầu tư nắm giữ đến ngày đáo hạn,1071,2025-03-14,2025-03-14
VREBCKQKDQ12024,3. Đầu tư nắm giữ đến ngày đáo hạn,1017,2025-03-14,2025-03-14
VREBCKQKDQ22024,3. Đầu tư nắm giữ đến ngày đáo hạn,114,2025-03-14,2025-03-14
VREBCKQKDQ32024,3. Đầu tư nắm giữ đến ngày đáo hạn,1458,2025-03-14,2025-03-14
VREBCKQKDQ42024,3. Đầu tư nắm giữ đến ngày đáo hạn,126,2025-03-14,2025-03-14
VREBCKQKDQ42023,III. Các khoản phải thu ngắn hạn,1613,2025-03-14,2025-03-14
VREBCKQKDQ12024,III. Các khoản phải thu ngắn hạn,4322,2025-03-14,2025-03-14
VREBCKQKDQ22024,III. Các khoản phải thu ngắn hạn,5520,2025-03-14,2025-03-14
VREBCKQKDQ32024,III. Các khoản phải thu ngắn hạn,1942,2025-03-14,2025-03-14
VREBCKQKDQ42024,III. Các khoản phải thu ngắn hạn,2016,2025-03-14,2025-03-14
VREBCKQKDQ42023,1. Phải thu ngắn hạn của khách hàng,1461,2025-03-14,2025-03-14
VREBCKQKDQ12024,1. Phải thu ngắn hạn của khách hàng,1456,2025-03-14,2025-03-14
VREBCKQKDQ22024,1. Phải thu ngắn hạn của khách hàng,1663,2025-03-14,2025-03-14
VREBCKQKDQ32024,1. Phải thu ngắn hạn của khách hàng,1710,2025-03-14,2025-03-14
VREBCKQKDQ42024,1. Phải thu ngắn hạn của khách hàng,1674,2025-03-14,2025-03-14
VREBCKQKDQ42023,2. Trả trước cho người bán ngắn hạn,78,2025-03-14,2025-03-14
VREBCKQKDQ12024,2. Trả trước cho người bán ngắn hạn,81,2025-03-14,2025-03-14
VREBCKQKDQ22024,2. Trả trước cho người bán ngắn hạn,66,2025-03-14,2025-03-14
VREBCKQKDQ32024,2. Trả trước cho người bán ngắn hạn,116,2025-03-14,2025-03-14
VREBCKQKDQ42024,2. Trả trước cho người bán ngắn hạn,95,2025-03-14,2025-03-14
VREBCKQKDQ42023,5. Phải thu về cho vay ngắn hạn,2350,2025-03-14,2025-03-14
VREBCKQKDQ12024,5. Phải thu về cho vay ngắn hạn,2350,2025-03-14,2025-03-14
VREBCKQKDQ42023,6. Phải thu ngắn hạn khác,297,2025-03-14,2025-03-14
VREBCKQKDQ12024,6. Phải thu ngắn hạn khác,708,2025-03-14,2025-03-14
VREBCKQKDQ22024,6. Phải thu ngắn hạn khác,1778,2025-03-14,2025-03-14
VREBCKQKDQ32024,6. Phải thu ngắn hạn khác,522,2025-03-14,2025-03-14
VREBCKQKDQ42024,6. Phải thu ngắn hạn khác,711,2025-03-14,2025-03-14
VREBCKQKDQ42023,7. Dự phòng phải thu ngắn hạn khó đòi (*),-222,2025-03-14,2025-03-14
VREBCKQKDQ12024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-273,2025-03-14,2025-03-14
VREBCKQKDQ22024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-338,2025-03-14,2025-03-14
VREBCKQKDQ32024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-406,2025-03-14,2025-03-14
VREBCKQKDQ42024,7. Dự phòng phải thu ngắn hạn khó đòi (*),-463,2025-03-14,2025-03-14
VREBCKQKDQ42023,IV. Hàng tồn kho,640,2025-03-14,2025-03-14
VREBCKQKDQ12024,IV. Hàng tồn kho,511,2025-03-14,2025-03-14
VREBCKQKDQ22024,IV. Hàng tồn kho,229,2025-03-14,2025-03-14
VREBCKQKDQ32024,IV. Hàng tồn kho,251,2025-03-14,2025-03-14
VREBCKQKDQ42024,IV. Hàng tồn kho,295,2025-03-14,2025-03-14
VREBCKQKDQ42023,1. Hàng tồn kho,640,2025-03-14,2025-03-14
VREBCKQKDQ12024,1. Hàng tồn kho,511,2025-03-14,2025-03-14
VREBCKQKDQ22024,1. Hàng tồn kho,229,2025-03-14,2025-03-14
VREBCKQKDQ32024,1. Hàng tồn kho,251,2025-03-14,2025-03-14
VREBCKQKDQ42024,1. Hàng tồn kho,295,2025-03-14,2025-03-14
VREBCKQKDQ42023,V. Tài sản ngắn hạn khác,2611,2025-03-14,2025-03-14
VREBCKQKDQ12024,V. Tài sản ngắn hạn khác,2622,2025-03-14,2025-03-14
VREBCKQKDQ22024,V. Tài sản ngắn hạn khác,5518,2025-03-14,2025-03-14
VREBCKQKDQ32024,V. Tài sản ngắn hạn khác,5511,2025-03-14,2025-03-14
VREBCKQKDQ42024,V. Tài sản ngắn hạn khác,6990,2025-03-14,2025-03-14
VREBCKQKDQ42023,1. Chi phí trả trước ngắn hạn,73,2025-03-14,2025-03-14
VREBCKQKDQ12024,1. Chi phí trả trước ngắn hạn,85,2025-03-14,2025-03-14
VREBCKQKDQ22024,1. Chi phí trả trước ngắn hạn,72,2025-03-14,2025-03-14
VREBCKQKDQ32024,1. Chi phí trả trước ngắn hạn,96,2025-03-14,2025-03-14
VREBCKQKDQ42024,1. Chi phí trả trước ngắn hạn,84,2025-03-14,2025-03-14
VREBCKQKDQ42023,2. Thuế GTGT được khấu trừ,22,2025-03-14,2025-03-14
VREBCKQKDQ12024,2. Thuế GTGT được khấu trừ,21,2025-03-14,2025-03-14
VREBCKQKDQ22024,2. Thuế GTGT được khấu trừ,31,2025-03-14,2025-03-14
VREBCKQKDQ32024,2. Thuế GTGT được khấu trừ,52,2025-03-14,2025-03-14
VREBCKQKDQ42023,3. Thuế và các khoản khác phải thu của nhà nước,1,2025-03-14,2025-03-14
VREBCKQKDQ12024,3. Thuế và các khoản khác phải thu của nhà nước,1,2025-03-14,2025-03-14
VREBCKQKDQ22024,3. Thuế và các khoản khác phải thu của nhà nước,1,2025-03-14,2025-03-14
VREBCKQKDQ32024,3. Thuế và các khoản khác phải thu của nhà nước,1,2025-03-14,2025-03-14
VREBCKQKDQ42024,3. Thuế và các khoản khác phải thu của nhà nước,1,2025-03-14,2025-03-14
VREBCKQKDQ42023,5. Tài sản ngắn hạn khác,2515,2025-03-14,2025-03-14
VREBCKQKDQ12024,5. Tài sản ngắn hạn khác,2515,2025-03-14,2025-03-14
VREBCKQKDQ22024,5. Tài sản ngắn hạn khác,5414,2025-03-14,2025-03-14
VREBCKQKDQ32024,5. Tài sản ngắn hạn khác,5414,2025-03-14,2025-03-14
VREBCKQKDQ42024,5. Tài sản ngắn hạn khác,6854,2025-03-14,2025-03-14
VREBCKQKDQ42023,B. TÀI SẢN DÀI HẠN,37617,2025-03-14,2025-03-14
VREBCKQKDQ12024,B. TÀI SẢN DÀI HẠN,37623,2025-03-14,2025-03-14
VREBCKQKDQ22024,B. TÀI SẢN DÀI HẠN,39945,2025-03-14,2025-03-14
VREBCKQKDQ32024,B. TÀI SẢN DÀI HẠN,40586,2025-03-14,2025-03-14
VREBCKQKDQ42024,B. TÀI SẢN DÀI HẠN,42914,2025-03-14,2025-03-14
